mean,std
5,3.28458,0.2478
5,3.15957,0.349274
5,3.15957,0.349274
5,3.15957,0.349274
5,3.15957,0.349274
5,3.15957,0.349274
5,3.15957,0.349274
5,3.15957,0.349274
7,3.25237,0.272875
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
7,3.06047,0.274039
8,3.07873,0.242118
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,3.01906,0.251787
8,2.98908,0.270892
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.95742,0.304732
8,2.9208,0.325107
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.90918,0.335491
8,2.89821,0.308803
8,2.86589,0.239958
8,2.86589,0.239958
8,2.86589,0.239958
8,2.86589,0.239958
8,2.86589,0.239958
8,2.86589,0.239958
8,2.86589,0.239958
8,2.86589,0.239958
9,2.95139,0.271774
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.892,0.218749
9,2.87633,0.223032
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.85813,0.232936
9,2.84085,0.239781
