,No local opt,std,,w/ local opt,std
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8503,0,1,2.80535,0
1,3.8469,0,2,3.29678,0.241503
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
1,3.8469,0,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
2,4.0384,0.0366703,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
4,3.86726,0.0722973,2,2.83311,0.000770895
