Average solve time: 2.930213,,,,,opt homotopy class
1,2.19583,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
1,1.80568,0,,,
2,2.38722,0.338189,,,
2,2.11095,0.0931898,,,
2,2.11095,0.0931898,,,
2,2.11095,0.0931898,,,
3,2.50812,0.37762,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.94608,0.116491,,,
3,1.76263,0.0113042,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
3,1.73914,0.00755753,,,
