x11,x12,x21,x22
-0.040424,0.136273,0.958565,0.091310
0.044088,-0.011942,1.040030,-0.101939
-0.110825,0.068499,0.888386,0.028789
0.208479,0.358274,1.092918,-0.108383
-0.050760,-0.387058,0.852286,0.042485
0.057362,-0.342133,1.038716,-0.149924
0.090384,-0.037458,1.089807,-0.003485
0.129099,0.144608,1.046805,-0.252653
-0.091796,-0.312436,0.794242,0.151177
0.016318,0.208074,0.987520,-0.030186
0.081745,0.254461,1.049048,0.000838
-0.092721,-0.498766,0.749786,0.039920
0.062208,0.221995,1.001750,-0.120438
-0.072125,0.407118,0.858254,0.040519
-0.020425,-0.168559,0.959701,0.029817
-0.050553,0.186599,0.923825,-0.038313
0.018320,0.136278,1.016153,0.202077
-0.012857,0.149828,0.934156,-0.171366
0.001770,0.175710,0.994652,0.056610
-0.027303,-0.217432,0.909314,0.132922
0.115534,0.260961,1.067221,-0.046110
-0.002389,-0.129507,0.986298,0.020488
-0.063589,0.081326,0.936387,0.074396
0.094372,-0.355243,1.052855,-0.070094
-0.023393,-0.066069,0.975777,-0.106813
0.111770,-0.099222,1.098727,0.061760
-0.137555,0.262705,0.857066,0.159124
-0.039856,-0.231384,0.949907,-0.088664
-0.039861,0.057993,0.923661,-0.209636
-0.048815,0.291172,0.800889,-0.236087
-0.015012,0.230525,0.970790,0.062613
0.157503,0.467913,1.080354,0.082754
-0.096540,-0.014505,0.903132,0.011118
-0.138748,-0.203687,0.831020,0.040344
0.012988,-0.555092,0.648001,0.217410
0.199143,-0.029146,1.199057,-0.016043
0.185943,-0.252438,1.063499,0.227036
-0.051071,-0.098508,0.947839,-0.051843
0.283864,-0.283940,1.201356,0.113815
-0.082288,0.008720,0.917016,0.046023
0.117064,0.065356,1.113449,-0.019596
-0.066627,0.027677,0.933300,0.015571
-0.021475,0.002952,0.962995,0.178505
-0.027105,-0.017966,0.967599,0.084819
0.146786,-0.268177,1.126874,-0.069615
0.056053,0.172685,1.055545,0.204535
-0.203791,0.211926,0.772526,-0.004417
-0.016243,-0.347063,0.914500,0.018611
0.162723,0.092499,1.161252,0.146728
0.029192,-0.299521,0.993981,-0.036494
-0.124188,-0.243480,0.870722,-0.142715
0.018772,0.047202,1.018498,0.070626
0.105604,0.020937,1.060836,0.316793
-0.074774,-0.010214,0.914908,0.133071
-0.093984,0.140710,0.852298,-0.182635
-0.097544,0.065313,0.897757,-0.031525
-0.039867,-0.232723,0.940116,-0.033640
-0.106592,-0.044677,0.891798,0.012055
-0.042045,-0.163311,0.947327,-0.017902
0.090882,0.087105,1.065882,-0.135100
0.107851,0.209982,1.016216,-0.208196
0.093416,-0.217086,1.081431,-0.062725
-0.105005,-0.140689,0.882116,0.019284
0.010654,-0.092277,1.010458,-0.072460
-0.045477,-0.069388,0.931866,-0.281052
-0.031632,-0.120632,0.963290,-0.019981
-0.311007,-0.082772,0.684258,0.014425
-0.043574,0.037308,0.952566,-0.050475
-0.101570,-0.376524,0.866544,-0.126015
0.061863,-0.275534,0.973645,0.135140
0.021633,0.050875,1.013109,-0.079419
0.185055,0.123504,1.171128,-0.042808
-0.018529,0.212692,0.958929,0.001564
0.000917,0.395478,0.882239,-0.077037
0.102350,-0.093296,1.101844,-0.061475
-0.029139,0.384026,0.871333,-0.050889
-0.035935,-0.128900,0.962349,-0.070344
-0.101904,0.181039,0.892880,0.079036
0.023796,-0.401631,0.984455,-0.123903
0.011723,-0.036612,1.007441,0.055830
-0.039350,-0.054606,0.958521,0.010613
-0.059285,-0.149462,0.935310,-0.045629
0.082537,0.205298,1.080838,0.147035
0.045265,0.358444,1.016994,0.122346
0.140102,0.171317,1.103411,-0.097078
-0.223452,-0.244582,0.770041,-0.130689
0.152749,-0.028206,1.149099,0.057164
0.158532,0.095319,1.146728,-0.057880
0.001687,0.106954,1.001686,0.105439
-0.118259,-0.079994,0.881673,-0.091624
-0.039117,0.089561,0.956745,-0.001309
-0.146797,0.038746,0.837532,-0.137597
-0.061756,-0.017485,0.919828,-0.208517
0.000162,-0.002411,0.998534,0.054622
-0.059591,0.342008,0.806070,-0.158623
-0.023210,0.265996,0.957059,0.068324
0.054978,-0.049688,1.052732,-0.116677
0.152701,0.091380,1.152465,0.113125
0.090681,0.108770,1.081254,-0.028219
0.131789,-0.152075,1.121607,-0.009741
-0.064624,-0.059251,0.928210,0.060255
0.002460,-0.236169,0.987532,-0.064031
-0.078715,-0.147043,0.920391,-0.104778
-0.108652,-0.084944,0.882387,0.048634
-0.077829,0.017977,0.916045,0.128499
0.051441,-0.026491,1.048020,0.056154
-0.075340,0.172422,0.876165,-0.135214
0.080123,-0.049668,1.079024,-0.096549
-0.150258,0.170089,0.806837,-0.119687
0.040184,0.043571,1.029375,-0.103066
-0.029417,-0.475388,0.862482,-0.023153
-0.167250,-0.200426,0.830384,-0.131677
