x11,x12,x21,x22
0.094275,0.035023,1.093849,0.005848
0.159052,0.031502,1.156288,-0.042800
-0.080946,-0.106935,0.892024,0.123995
-0.004773,0.099210,0.965840,-0.141433
-0.063059,-0.036363,0.930702,-0.147899
-0.075685,-0.229829,0.915832,-0.099851
-0.203387,0.187501,0.792283,0.094541
0.045817,-0.047089,1.045772,-0.056560
-0.171881,0.114865,0.810418,-0.072456
-0.003354,0.229261,0.958648,-0.043783
0.016828,-0.302751,0.924518,0.116892
0.029719,-0.162830,0.991614,0.110588
-0.261605,-0.017074,0.737649,0.021552
0.022494,0.061597,1.022206,0.085610
-0.096123,0.206666,0.873074,-0.039622
0.075417,-0.135746,1.074046,-0.083385
0.002849,-0.343342,0.969695,-0.087981
-0.018573,-0.076397,0.958893,-0.287491
-0.029385,-0.072194,0.951848,0.120631
0.058618,-0.156640,1.034621,0.061117
0.110053,0.123381,1.102109,-0.002415
-0.081359,-0.177413,0.914730,-0.089048
-0.029409,-0.062828,0.969766,-0.103458
-0.098587,-0.242272,0.879171,-0.032534
0.079011,-0.114098,1.078247,-0.075034
-0.129045,-0.276494,0.841752,-0.036589
-0.061485,0.073306,0.937231,0.022642
0.077447,-0.073580,1.077423,-0.066615
-0.006791,0.058556,0.991776,0.005031
0.018078,-0.304676,0.963399,0.021466
-0.002894,0.223934,0.988541,0.093332
-0.050195,-0.110455,0.944774,-0.010271
0.129450,0.219024,1.113285,0.039951
-0.023414,0.272813,0.914371,-0.074403
0.243180,0.291957,1.223057,0.092358
0.024865,0.212136,1.006272,0.020194
-0.059123,0.193869,0.913533,-0.038384
0.069156,0.111001,1.044778,-0.108457
-0.084996,0.174926,0.893623,-0.030759
-0.002684,-0.145085,0.991263,-0.035231
0.005882,-0.199289,1.004123,-0.139991
0.065482,-0.097979,1.064990,-0.066608
0.062263,-0.117777,1.061623,-0.082027
-0.145156,-0.346292,0.822882,-0.095490
-0.114598,0.080031,0.882299,0.158758
-0.010788,-0.099719,0.976248,0.060784
0.056553,0.219741,1.045077,0.068678
-0.105786,0.088725,0.893811,0.060328
-0.226986,0.012342,0.772964,0.002333
-0.129400,-0.097018,0.857390,0.064983
-0.024937,0.039093,0.974780,0.062876
0.025971,-0.229156,1.024884,-0.182542
-0.103963,0.184212,0.881023,0.011583
-0.064684,-0.235761,0.889559,0.063269
0.011418,-0.104349,1.006044,-0.000814
-0.061997,-0.074956,0.909271,0.163033
-0.099075,-0.209718,0.881783,-0.014996
0.061182,-0.281015,1.023596,-0.009426
-0.008498,0.155709,0.976768,-0.015322
-0.144766,-0.118406,0.830245,0.103749
-0.104300,0.195634,0.877490,0.005664
0.011911,-0.022651,1.010490,-0.075945
-0.040065,-0.255814,0.958023,-0.194002
0.014208,0.017901,1.014202,0.014445
0.032087,-0.106314,1.020910,0.042782
-0.030496,0.035847,0.967041,-0.034286
0.300665,0.081726,1.300664,0.083493
-0.113912,0.060086,0.883359,0.133915
-0.061673,0.142669,0.934087,0.050674
-0.021206,0.092224,0.959862,-0.101436
0.271706,0.407130,1.060833,-0.207101
0.117902,-0.231988,1.082424,0.032016
0.020978,0.051318,1.010553,-0.092700
-0.030790,-0.328015,0.931961,-0.057627
0.069494,0.193771,1.068886,0.158906
-0.160670,-0.116377,0.839327,-0.114002
-0.030298,-0.109137,0.955838,0.056801
0.208675,0.165010,1.190473,-0.024920
0.054024,0.146958,1.054015,0.142626
0.155331,0.435412,1.053383,-0.004476
0.042629,0.096683,1.041636,0.052124
-0.039482,0.133544,0.956795,0.047327
0.005786,-0.160835,1.004454,-0.212429
0.236484,0.032892,1.222999,-0.130778
-0.147175,-0.015941,0.852823,-0.017391
-0.039345,0.295839,0.930961,0.053961
-0.140000,0.249287,0.844503,0.073922
0.086638,-0.149562,0.997365,0.263446
0.007145,0.016254,1.005449,0.074473
0.137729,-0.173785,1.126407,-0.023732
-0.023558,-0.158465,0.943262,0.096993
0.114312,0.361814,1.092882,0.155899
-0.057471,0.202692,0.920548,-0.005826
-0.017886,-0.070504,0.982005,-0.055699
-0.236178,-0.293142,0.724282,-0.014722
-0.207260,0.082247,0.784703,-0.044274
-0.116641,0.015386,0.873507,-0.124643
-0.182394,-0.033709,0.816890,-0.071564
-0.206732,0.112735,0.773741,-0.083921
-0.011646,0.038271,0.983806,-0.056995
0.051132,0.077434,1.048324,0.152332
0.231347,0.055946,1.229527,-0.004356
-0.067292,0.067891,0.925261,-0.053924
0.005241,0.026084,0.997677,-0.096680
-0.087902,0.040462,0.904703,-0.080929
-0.069365,-0.255800,0.895602,0.006570
0.124504,0.299000,1.031909,-0.121257
0.016520,-0.095494,0.998166,0.095217
0.204832,-0.017451,1.196906,0.108205
0.007785,0.271733,0.925023,-0.126608
0.066212,0.081699,1.059553,-0.033517
-0.212307,-0.064036,0.787350,-0.037866
-0.105849,-0.125980,0.893321,-0.085245
