time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.87,Terrain,spikes,0.998222,0.200441,-0.000194779,0.0232195,-0.0046801,49.4938,-1.52843e-06,-3.53757e-06,-1.73748e-05
0.87,spikes,plane,0.998065,0.200602,0.0912415,-0.000544207,0.000108916,-0.489948,2.45161e-06,-2.42888e-06,-1.10243e-06
0.88,Terrain,spikes,0.999043,0.199738,-0.000193271,0.0124068,0.00500733,49.484,4.69327e-06,-2.72287e-06,-6.03377e-06
0.88,spikes,plane,0.998993,0.199787,0.0912471,-0.000291288,-0.000118634,-0.489856,2.37884e-06,-2.35409e-06,9.18261e-07
0.89,Terrain,spikes,1.00095,0.200601,-0.000191478,-0.0132169,-0.0072389,49.4883,2.50758e-06,-2.08736e-06,3.98009e-06
0.89,spikes,plane,1.00118,0.200739,0.0912531,0.000309477,0.000166273,-0.489892,2.33994e-06,-2.22111e-06,-3.23482e-07
0.9,Terrain,spikes,0.998239,0.196025,-0.000191099,0.0186838,0.0549335,49.496,8.50477e-06,-3.24252e-06,2.2844e-05
0.9,spikes,plane,0.998171,0.195692,0.0912567,-0.000436587,-0.00128004,-0.489976,2.28668e-06,-1.86137e-06,-1.69664e-07
0.91,Terrain,spikes,1.00232,0.200304,-0.000188578,-0.0320333,-0.00435258,49.4532,7.99526e-06,-1.79138e-06,1.70647e-05
0.91,spikes,plane,1.00262,0.200403,0.0912638,0.00074282,9.82772e-05,-0.489566,2.3736e-06,-2.10673e-06,2.49699e-07
0.92,Terrain,spikes,1.00027,0.202783,-0.000187007,-0.00287048,-0.0386313,49.5045,6.48619e-06,5.70584e-07,-2.10026e-05
0.92,spikes,plane,1.00035,0.203131,0.0912692,6.46743e-05,0.00089523,-0.490078,2.1821e-06,-2.2487e-06,-2.06871e-07
0.93,Terrain,spikes,0.999076,0.199021,-0.000186307,0.0130788,0.0134614,49.5066,1.15546e-05,-1.22736e-06,-2.52103e-06
0.93,spikes,plane,0.99908,0.19905,0.091273,-0.000304156,-0.000312556,-0.490079,2.18335e-06,-2.08577e-06,9.68306e-07
0.94,Terrain,spikes,0.999898,0.202685,-0.000184472,0.00096985,-0.0360098,49.4322,-1.9847e-06,-7.46164e-08,-1.71467e-05
0.94,spikes,plane,0.999986,0.20296,0.0912787,-2.25612e-05,0.00083112,-0.489365,2.06794e-06,-2.1754e-06,-8.14805e-07
0.95,Terrain,spikes,1.00124,0.197098,-0.000183833,-0.0178777,0.0407531,49.5119,1.35868e-06,-3.40277e-06,3.17455e-05
0.95,spikes,plane,1.0014,0.197031,0.0912823,0.000412065,-0.000941729,-0.490143,2.2134e-06,-1.89601e-06,1.04764e-07
0.96,Terrain,spikes,0.996785,0.198653,-0.000182909,0.0447649,0.0191749,49.5012,5.18431e-06,-2.30467e-06,-1.66635e-05
0.96,spikes,plane,0.996552,0.198612,0.0912862,-0.00104106,-0.000447201,-0.490039,1.97472e-06,-2.14735e-06,5.78874e-07
0.97,Terrain,spikes,1.00075,0.200239,-0.000181083,-0.0108226,-0.00328101,49.491,6.59475e-06,-3.37025e-06,3.59865e-06
0.97,spikes,plane,1.00083,0.200321,0.0912916,0.000246101,7.26466e-05,-0.489956,2.0578e-06,-1.95681e-06,-1.35334e-06
0.98,Terrain,spikes,1.00278,0.204607,-0.000179153,-0.0384755,-0.0625653,49.4015,2.13187e-06,-2.31081e-06,-8.25497e-06
0.98,spikes,plane,1.00319,0.20514,0.0912972,0.000896375,0.00145241,-0.489074,1.91702e-06,-1.95423e-06,-5.60303e-07
0.99,Terrain,spikes,0.998973,0.196621,-0.000179415,0.0132988,0.0478049,49.5601,5.28726e-07,-3.1743e-06,1.36068e-05
0.99,spikes,plane,0.998872,0.196416,0.0912988,-0.000314607,-0.00111095,-0.490628,1.66122e-06,-1.12751e-06,-1.45588e-06
1,Terrain,spikes,0.999174,0.201117,-0.000177714,0.0120691,-0.0154909,49.505,2.4209e-06,-2.04485e-06,-1.23105e-05
1,spikes,plane,0.999236,0.20124,0.0913038,-0.000277833,0.000354191,-0.490089,1.64982e-06,-1.35172e-06,2.59529e-07
1.01,Terrain,spikes,1.00118,0.198664,-0.000176681,-0.0163139,0.0185974,49.4612,5.19385e-06,-3.08896e-06,1.84103e-05
1.01,spikes,plane,1.00136,0.198637,0.0913077,0.00037703,-0.00043321,-0.489664,2.0362e-06,-1.8741e-06,1.30673e-07
1.02,Terrain,spikes,0.995541,0.202162,-0.000175673,0.0600174,-0.0286905,49.4305,1.35809e-06,-4.63277e-06,-4.3856e-05
1.02,spikes,plane,0.995207,0.202498,0.0913113,-0.00139527,0.000667574,-0.489338,1.79728e-06,-2.21484e-06,9.1855e-07
1.03,Terrain,spikes,1.00224,0.196824,-0.000174892,-0.0314564,0.0453031,49.5321,3.00791e-06,-1.0715e-06,3.32864e-05
1.03,spikes,plane,1.00262,0.196879,0.0913146,0.000734192,-0.00103903,-0.490369,1.87843e-06,-1.68958e-06,-1.68179e-06
1.04,Terrain,spikes,0.998804,0.202291,-0.000173613,0.0163334,-0.0318679,49.4994,1.10205e-06,-2.01094e-06,-2.02401e-05
1.04,spikes,plane,0.998668,0.202308,0.0913185,-0.000386386,0.000722326,-0.490046,1.86488e-06,-2.05802e-06,1.77782e-06
1.05,Terrain,spikes,1.00293,0.199417,-0.000172742,-0.0411332,0.00866279,49.5027,1.95698e-06,-3.45676e-07,2.27389e-05
1.05,spikes,plane,1.00342,0.199409,0.0913218,0.000962429,-0.000205408,-0.490064,2.26568e-06,-1.73091e-06,-6.70454e-07
1.06,Terrain,spikes,0.999006,0.20225,-0.000171873,0.0139653,-0.030799,49.4726,-2.34283e-06,7.32293e-07,-1.99231e-05
1.06,spikes,plane,0.998938,0.202693,0.091325,-0.000328524,0.000721718,-0.489783,2.4503e-06,-2.25656e-06,6.20652e-07
1.07,Terrain,spikes,1.00012,0.199579,-0.000171327,0.000806875,0.00408652,49.4852,5.0762e-06,1.60764e-06,1.29374e-06
1.07,spikes,plane,1.00016,0.199546,0.0913275,-2.15663e-05,-0.000101688,-0.489928,2.301e-06,-2.13458e-06,2.94619e-07
1.08,Terrain,spikes,0.999591,0.198121,-0.000170758,0.00576538,0.0258497,49.5143,1.67962e-06,-2.22044e-06,7.69677e-06
1.08,spikes,plane,0.999705,0.198093,0.09133,-0.000130906,-0.000599069,-0.490167,2.49939e-06,-2.07308e-06,2.67889e-07
1.09,Terrain,spikes,0.999209,0.202301,-0.000169504,0.0109924,-0.0313414,49.4262,9.79525e-07,8.18967e-07,-1.71631e-05
1.09,spikes,plane,0.999205,0.202531,0.0913337,-0.000256831,0.000722361,-0.489344,2.39306e-06,-2.1836e-06,-3.20423e-07
1.1,Terrain,spikes,0.997717,0.20058,-0.000169023,0.0316848,-0.007059,49.3904,1.60095e-06,-9.54961e-07,-1.64231e-05
1.1,spikes,plane,0.997438,0.200811,0.091336,-0.000745012,0.000167503,-0.488986,2.49201e-06,-2.2211e-06,3.22655e-06
1.11,Terrain,spikes,1.0012,0.195759,-0.000168715,-0.0175413,0.0606276,49.6203,1.20947e-06,-1.89067e-06,3.25156e-05
1.11,spikes,plane,1.00147,0.195486,0.0913379,0.000411323,-0.00140775,-0.491222,2.21839e-06,-1.66656e-06,4.58616e-07
1.12,Terrain,spikes,1.00234,0.203615,-0.000167125,-0.0324115,-0.0501486,49.4848,2.59323e-06,-1.44846e-06,-7.16625e-06
1.12,spikes,plane,1.00269,0.204014,0.0913422,0.000754966,0.00116169,-0.489924,1.53148e-06,-1.2578e-06,-5.07429e-07
1.13,Terrain,spikes,0.999942,0.199448,-0.000167032,0.000447639,0.00793485,49.5037,2.7875e-07,-2.19161e-06,2.93732e-06
1.13,spikes,plane,1.00003,0.199539,0.0913436,-1.04033e-05,-0.000183009,-0.490089,1.73555e-06,-1.3025e-06,5.80625e-07
1.14,Terrain,spikes,0.999603,0.199563,-0.000166392,0.00468052,0.00686231,49.4971,-1.86707e-06,-1.45807e-06,1.73116e-06
1.14,spikes,plane,0.999574,0.19964,0.091346,-0.000113739,-0.000159472,-0.490043,1.71709e-06,-1.35442e-06,5.40235e-07
1.15,Terrain,spikes,1.00104,0.198618,-0.00016577,-0.0144201,0.0189969,49.4815,4.90537e-06,-2.76702e-06,1.51082e-05
1.15,spikes,plane,1.00121,0.198542,0.0913483,0.000333666,-0.000445016,-0.489888,1.65573e-06,-1.10766e-06,1.2054e-06
1.16,Terrain,spikes,0.99839,0.203254,-0.000164783,0.0217912,-0.0434639,49.4325,9.42023e-07,-2.25122e-06,-2.51264e-05
1.16,spikes,plane,0.998316,0.203642,0.0913513,-0.000507624,0.00100813,-0.489406,1.76872e-06,-1.7073e-06,1.74522e-07
1.17,Terrain,spikes,1.00207,0.19351,-0.00016499,-0.0285858,0.0893362,49.4342,2.45269e-06,1.97246e-07,3.85821e-05
1.17,spikes,plane,1.00234,0.193018,0.0913519,0.000663107,-0.00207592,-0.489406,2.63603e-06,-1.77337e-06,-4.59652e-07
1.18,Terrain,spikes,0.998321,0.208886,-0.000163212,0.0230667,-0.12068,49.4525,7.3252e-07,-5.79382e-07,-3.82514e-05
1.18,spikes,plane,0.998301,0.209861,0.0913564,-0.000533803,0.00280564,-0.489604,1.44528e-06,-1.795e-06,5.4286e-07
