time,reflex_col_cmx,reflex_col_cmy,reflex_col_cmz,reflex_col_q[base],reflex_col_q[pad],reflex_col_q[swivel_1],reflex_col_q[proximal_1],reflex_col_q[distal_1],reflex_col_q[distal_pad_1],reflex_col_q[proximal_pad_1],reflex_col_q[swivel_2],reflex_col_q[proximal_2],reflex_col_q[distal_2],reflex_col_q[distal_pad_2],reflex_col_q[proximal_pad_2],reflex_col_q[proximal_3],reflex_col_q[distal_3],reflex_col_q[distal_pad_3],reflex_col_q[proximal_pad_3],reflex_col_dq[base],reflex_col_dq[pad],reflex_col_dq[swivel_1],reflex_col_dq[proximal_1],reflex_col_dq[distal_1],reflex_col_dq[distal_pad_1],reflex_col_dq[proximal_pad_1],reflex_col_dq[swivel_2],reflex_col_dq[proximal_2],reflex_col_dq[distal_2],reflex_col_dq[distal_pad_2],reflex_col_dq[proximal_pad_2],reflex_col_dq[proximal_3],reflex_col_dq[distal_3],reflex_col_dq[distal_pad_3],reflex_col_dq[proximal_pad_3],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_q[q[0]],reflex_col_q[q[1]],reflex_col_q[q[2]],reflex_col_q[q[3]],reflex_col_q[q[4]],reflex_col_q[q[5]],reflex_col_q[q[6]],reflex_col_q[q[7]],reflex_col_q[q[8]],reflex_col_q[q[9]],reflex_col_q[q[10]],reflex_col_q[q[11]],reflex_col_q[q[12]],reflex_col_q[q[13]],reflex_col_q[q[14]],reflex_col_q[q[15]],reflex_col_dq[dq[0]],reflex_col_dq[dq[1]],reflex_col_dq[dq[2]],reflex_col_dq[dq[3]],reflex_col_dq[dq[4]],reflex_col_dq[dq[5]],reflex_col_dq[dq[6]],reflex_col_dq[dq[7]],reflex_col_dq[dq[8]],reflex_col_dq[dq[9]],reflex_col_dq[dq[10]],reflex_col_dq[dq[11]],reflex_col_dq[dq[12]],reflex_col_dq[dq[13]],reflex_col_dq[dq[14]],reflex_col_dq[dq[15]],cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
4.14,0.0266262644458,-0.000565648669616,0.0552836037773,0.0,0.0,7.33768601435e-11,-2.42036720444e-07,6.2831852476,0.0,0.0,-5.10853581659e-11,-0.324054439161,6.28318527077,0.0,0.0,-1.67180662203e-07,6.2831852689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.98087309507e-10,1.21018360222e-06,2.97892577272e-08,-0.0797278041952,1.82066073329e-08,8.35903311014e-07,1.91383726644e-08,0.0,0.0,-7.33768601435e-11,-2.41510559107e-07,6.28318524773,0.0,0.0,-5.11128916969e-11,-0.323698909992,6.28318527084,0.0,0.0,-1.66817229363e-07,6.28318526899,0.0,0.0,0.0,0.0,-5.33500421974e-16,-5.84623735497e-08,-1.43909308306e-08,0.0,0.0,-4.18588690169e-16,-0.0415334907271,-8.63388875672e-09,0.0,0.0,-4.03813866248e-08,-9.2455809939e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999974038,0.0216752367176,0.0214999982067
4.15,0.0266258432499,-0.000565648669616,0.0552820674813,0.0,0.0,7.33768601435e-11,-2.42621344348e-07,6.28318524746,0.0,0.0,-5.10569364565e-11,-0.324413388147,6.28318527068,0.0,0.0,-1.67584476074e-07,6.28318526881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.98042075057e-10,1.21310672174e-06,2.98612126137e-08,-0.0779330592663,1.8249722622e-08,8.3792238037e-07,1.91846005748e-08,0.0,0.0,7.33768601435e-11,-2.42095183012e-07,6.28318524759,0.0,0.0,-5.10826936306e-11,-0.324091985896,6.28318527076,0.0,0.0,-1.67221043235e-07,6.28318526889,0.0,0.0,0.0,0.0,-5.33746610262e-16,-5.84623715189e-08,-1.43909306172e-08,0.0,0.0,-3.68167626042e-16,-0.0375467347675,-8.62623476816e-09,0.0,0.0,-4.03813845319e-08,-9.24558094725e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973975,0.0216710111516,0.0214999982024
4.16,0.0266254620098,-0.000565648669616,0.0552806787828,0.0,0.0,7.33768601435e-11,-2.43205968253e-07,6.28318524731,0.0,0.0,-5.10320674607e-11,-0.324737881861,6.28318527059,0.0,0.0,-1.67988289945e-07,6.28318526872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.98002494914e-10,1.21602984127e-06,2.99331670561e-08,-0.0763105906931,1.82928046044e-08,8.39941449726e-07,1.92308284852e-08,0.0,0.0,7.33768601435e-11,-2.42679806917e-07,6.28318524744,0.0,0.0,-5.10542719212e-11,-0.3244473308,6.28318527067,0.0,0.0,-1.67624857106e-07,6.2831852688,0.0,0.0,0.0,0.0,-5.33906816496e-16,-5.84623683481e-08,-1.43909306489e-08,0.0,0.0,-3.22893779846e-16,-0.0339426531442,-8.61931388763e-09,0.0,0.0,-4.03813825644e-08,-9.24558089913e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973912,0.0216671911939,0.021499998198
4.17,0.026625116977,-0.000565648669616,0.0552794234909,0.0,0.0,7.33768601435e-11,-2.4379059127e-07,6.28318524717,0.0,0.0,-5.10089748218e-11,-0.325031227567,6.28318527051,0.0,0.0,-1.68392103816e-07,6.28318526863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.97965741923e-10,1.21895295635e-06,3.00051219426e-08,-0.0748438621642,1.83358568329e-08,8.41960519082e-07,1.92770563956e-08,0.0,0.0,7.33768601435e-11,-2.43264429933e-07,6.2831852473,0.0,0.0,-5.10294029255e-11,-0.324768566378,6.28318527059,0.0,0.0,-1.68028670977e-07,6.28318526871,0.0,0.0,0.0,0.0,-5.34025729184e-16,-5.84623652388e-08,-1.43909304759e-08,0.0,0.0,-2.82380001423e-16,-0.0306845161848,-8.61305591432e-09,0.0,0.0,-4.03813805288e-08,-9.24558085595e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973849,0.0216637379114,0.0214999981937
4.18,0.026624804747,-0.000565648669616,0.0552782887807,0.0,0.0,7.33768601435e-11,-2.44375215175e-07,6.28318524703,0.0,0.0,-5.09885467181e-11,-0.325296415086,6.28318527042,0.0,0.0,-1.68795917688e-07,6.28318526853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.97933229663e-10,1.22187607587e-06,3.0077076385e-08,-0.0735179245716,1.8378882416e-08,8.43979588439e-07,1.9323284306e-08,0.0,0.0,7.33768601435e-11,-2.43849053838e-07,6.28318524715,0.0,0.0,-5.1007198465e-11,-0.325058966686,6.2831852705,0.0,0.0,-1.68432484848e-07,6.28318526862,0.0,0.0,0.0,0.0,-5.34374335626e-16,-5.8462362543e-08,-1.43909304271e-08,0.0,0.0,-2.45964195044e-16,-0.027739119248,-8.60739782227e-09,0.0,0.0,-4.03813785018e-08,-9.24558088818e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973786,0.0216606161081,0.0214999981894
4.19,0.0266245222289,-0.000565648668494,0.0552772630621,0.0,0.0,-7.33768601435e-11,-2.4495983908e-07,6.28318524688,0.0,0.0,-5.09698949713e-11,-0.325536147264,6.28318527034,0.0,0.0,-1.69199731559e-07,6.28318526844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56617092758e-11,1.2247991954e-06,3.01490308274e-08,-0.0723192636791,1.84218831301e-08,8.45998657795e-07,1.93695122164e-08,0.0,0.0,7.33768601435e-11,-2.44433677743e-07,6.28318524701,0.0,0.0,-5.09867703613e-11,-0.32532149153,6.28318527041,0.0,0.0,-1.6883629872e-07,6.28318526852,0.0,0.0,0.0,0.0,-5.34427910892e-16,-5.84623594763e-08,-1.43909303968e-08,0.0,0.0,-2.13276354488e-16,-0.0250764444803,-8.60228201519e-09,0.0,0.0,-4.03813765484e-08,-9.24558076089e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973723,0.0216577939661,0.021499998185
4.2,0.0266242666181,-0.000565648668494,0.05527633586,0.0,0.0,-7.33768601435e-11,-2.45544462096e-07,6.28318524674,0.0,0.0,-5.09530195814e-11,-0.325752867518,6.28318527025,0.0,0.0,-1.69603544542e-07,6.28318526835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56885672303e-11,1.22772231048e-06,3.02209857139e-08,-0.0712356624082,1.84648616397e-08,8.4801772271e-07,1.94157401268e-08,0.0,0.0,7.33768601435e-11,-2.4501830076e-07,6.28318524687,0.0,0.0,-5.09681186145e-11,-0.325558816619,6.28318527033,0.0,0.0,-1.69240112591e-07,6.28318526843,0.0,0.0,0.0,0.0,1.29996145215e-15,-5.84623564107e-08,-1.43909303648e-08,0.0,0.0,9.16817057972e-16,-0.022669355016,-8.59765650341e-09,0.0,0.0,-4.03813744611e-08,-9.24558078421e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973661,0.0216552427213,0.0214999981807
4.21,0.0266240353706,-0.000565648670156,0.0552754977075,0.0,0.0,7.33768601435e-11,-2.46129086001e-07,6.28318524659,0.0,0.0,5.09370323698e-11,-0.325948784732,6.28318527016,0.0,0.0,-1.70007358413e-07,6.28318526826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.57140116083e-11,1.23064543001e-06,3.02929401563e-08,-0.0702560763397,1.85078206094e-08,8.50036792066e-07,1.94619680371e-08,0.0,0.0,7.33768601435e-11,-2.45602924664e-07,6.28318524672,0.0,0.0,-5.09512432245e-11,-0.325773360837,6.28318527024,0.0,0.0,-1.69643926462e-07,6.28318526834,0.0,0.0,0.0,0.0,1.29963653926e-15,-5.84623539792e-08,-1.43909302334e-08,0.0,0.0,9.43114296885e-16,-0.0204933185158,-8.59347454307e-09,0.0,0.0,-4.0381372403e-08,-9.24558073325e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973598,0.021652936371,0.0214999981763
4.22,0.0266238261793,-0.000565648669617,0.055274740048,0.0,0.0,7.33768601435e-11,-2.46713709018e-07,6.28318524645,0.0,0.0,-5.09237096935e-11,-0.326125895768,6.28318527008,0.0,0.0,-1.70411172284e-07,6.28318526816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.97830038574e-10,1.23356854509e-06,3.03648950428e-08,-0.0693705211623,1.85507609274e-08,8.52055861422e-07,1.95081959475e-08,0.0,0.0,-7.33768601435e-11,-2.46187548569e-07,6.28318524658,0.0,0.0,-5.09361441914e-11,-0.325967310889,6.28318527016,0.0,0.0,-1.70047740333e-07,6.28318526825,0.0,0.0,0.0,0.0,-1.2988529839e-15,-5.84623507755e-08,-1.43909301513e-08,0.0,0.0,-1.40708369012e-15,-0.0185261572239,-8.58969344958e-09,0.0,0.0,-4.03813704496e-08,-9.24558059547e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973535,0.0216508514079,0.021499998172
4.23,0.0266236369529,-0.000565648670156,0.055274055148,0.0,0.0,7.33768601435e-11,-2.47298332923e-07,6.28318524631,0.0,0.0,5.09112751956e-11,-0.326286005815,6.28318526999,0.0,0.0,-1.70814986156e-07,6.28318526807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.57550053283e-11,1.23649166461e-06,3.04368494852e-08,-0.0685699709232,1.85936852581e-08,8.54074930778e-07,1.95544238579e-08,0.0,0.0,7.33768601435e-11,-2.46772171586e-07,6.28318524644,0.0,0.0,-5.09228215151e-11,-0.32614264359,6.28318527007,0.0,0.0,-1.70451553316e-07,6.28318526815,0.0,0.0,0.0,0.0,-5.3483286329e-16,-5.84623474525e-08,-1.43909301556e-08,0.0,0.0,-1.12345340862e-16,-0.016747822006,-8.58627514227e-09,0.0,0.0,-4.03813684093e-08,-9.24558059806e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973472,0.0216489665814,0.0214999981676
4.24,0.0266234657961,-0.000565648670156,0.0552734360176,0.0,0.0,7.33768601435e-11,-2.47882955939e-07,6.28318524616,0.0,0.0,5.08997288762e-11,-0.326430746791,6.28318526991,0.0,0.0,-1.71218800027e-07,6.28318526798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.57733818235e-11,1.2394147797e-06,3.05088043717e-08,-0.0678462660429,1.8636594934e-08,8.56094000135e-07,1.96006517683e-08,0.0,0.0,-7.33768601435e-11,-2.47356795491e-07,6.28318524629,0.0,0.0,-5.09103870172e-11,-0.326301146003,6.28318526998,0.0,0.0,-1.70855367188e-07,6.28318526806,0.0,0.0,0.0,0.0,-1.2985855477e-15,-5.84623448824e-08,-1.43909300157e-08,0.0,0.0,-1.36578303803e-15,-0.0151401880655,-8.58318441148e-09,0.0,0.0,-4.03813663519e-08,-9.24558058365e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973409,0.0216472626805,0.0214999981633
4.25,0.0266233109917,-0.000565648668495,0.0552728763387,0.0,0.0,-7.33768601435e-11,-2.48467579844e-07,6.28318524602,0.0,0.0,-5.08899589136e-11,-0.326561593968,6.28318526982,0.0,0.0,-1.7162261301e-07,6.28318526789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57889311656e-11,1.24233789922e-06,3.05807588141e-08,-0.0671920301592,1.8679490843e-08,8.5811306505e-07,1.96468796787e-08,0.0,0.0,-7.33768601435e-11,-2.47941418507e-07,6.28318524615,0.0,0.0,-5.08988406978e-11,-0.326444433662,6.2831852699,0.0,0.0,-1.71259181059e-07,6.28318526797,0.0,0.0,0.0,0.0,-1.29851151536e-15,-5.84623418123e-08,-1.4390929961e-08,0.0,0.0,-1.34815228762e-15,-0.0136868702639,-8.58039037564e-09,0.0,0.0,-4.03813643283e-08,-9.24558052491e-09,0.0,0.0,0.892744479495,1,0.892744479495,0.0,0.0214999973346,0.0216457223381,0.021499998159
