time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.57,spikes,plane,0.998774,0.198255,0.0909215,-0.000358844,-0.000521647,-0.489651,3.12954e-06,-2.13013e-06,4.62685e-07
0.58,Terrain,spikes,1.00156,0.200753,-0.000285971,-0.0224343,-0.00968127,49.4598,1.35392e-05,-9.4627e-06,1.06349e-05
0.58,spikes,plane,1.0017,0.200821,0.0909391,0.000517498,0.000220961,-0.489489,3.07475e-06,-2.10029e-06,1.00226e-06
0.59,Terrain,spikes,1.00015,0.201398,-0.000281258,-0.00203524,-0.0194116,49.4724,1.64143e-05,-4.26793e-06,-1.05108e-05
0.59,spikes,plane,1.00018,0.201509,0.0909551,4.58192e-05,0.000445792,-0.489619,2.847e-06,-1.99341e-06,-7.39907e-07
0.6,Terrain,spikes,0.997655,0.198756,-0.000277474,0.0340066,0.0156108,49.4815,1.56045e-05,-8.35472e-06,-1.6612e-05
0.6,spikes,plane,0.997446,0.198664,0.0909694,-0.000790299,-0.000364458,-0.489698,2.72355e-06,-1.84655e-06,-6.20657e-07
0.61,Terrain,spikes,1.00455,0.197562,-0.000272613,-0.0611666,0.0330138,49.3182,1.30706e-05,-5.74596e-06,6.39408e-05
0.61,spikes,plane,1.00491,0.197348,0.0909849,0.00141316,-0.000768703,-0.48812,2.81422e-06,-1.6531e-06,7.64521e-07
0.62,Terrain,spikes,0.997388,0.203968,-0.000268137,0.0362636,-0.0556205,49.623,1.12553e-05,-3.94108e-06,-6.14115e-05
0.62,spikes,plane,0.997209,0.204366,0.0909997,-0.000840065,0.00128818,-0.491113,2.52384e-06,-1.95011e-06,-1.41245e-06
0.63,Terrain,spikes,0.99981,0.198071,-0.000264839,0.00099456,0.0292671,49.4885,6.1211e-06,-4.32486e-06,2.12373e-05
0.63,spikes,plane,0.999816,0.197914,0.0910124,-2.43556e-05,-0.000680846,-0.489793,2.62227e-06,-2.01969e-06,1.60217e-06
0.64,Terrain,spikes,1.00022,0.201404,-0.000260474,-0.0018929,-0.0208628,49.474,7.98249e-06,-1.1544e-06,-1.45726e-05
0.64,spikes,plane,1.00019,0.201495,0.0910264,3.91181e-05,0.000478006,-0.489677,2.58414e-06,-2.40915e-06,1.74809e-06
0.65,Terrain,spikes,0.999704,0.199921,-0.000256986,0.0036984,0.00152096,49.4827,8.15651e-06,-9.43931e-07,-4.17078e-06
0.65,spikes,plane,0.999757,0.199933,0.0910389,-8.39622e-05,-3.7552e-05,-0.489741,2.67961e-06,-2.39283e-06,1.6234e-06
0.66,Terrain,spikes,0.998996,0.197614,-0.000253719,0.0126401,0.0345851,49.4543,6.52675e-06,-3.27651e-06,1.51337e-05
0.66,spikes,plane,0.998771,0.197505,0.0910508,-0.000303058,-0.000799314,-0.489484,2.63262e-06,-2.27458e-06,1.4297e-07
