trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target x rel,target y rel,target x rel var,target y rel var,target x rel pred 40,target y rel pred 40,target x rel pred 40 var,target y rel pred 40 var
0,-1.765,1.015,-2.29167,1.87499,-1.5,2.20835,-1.58333,1.04166,-2.19563,1.63042,-1.14797,-0.609501,22.124,0.00228156,0.00150825,0.00179194,99.6791,39.8158
0,-1.69333,1.69333,-1.765,1.015,-2.29167,1.87499,-1.5,2.20835,-1.58333,1.04166,-1.23305,0.586654,22.124,0.00228156,0.00166248,-0.00286284,99.6791,39.8158
0,-4.91667,3.5,-1.69333,1.69333,-1.765,1.015,-2.29167,1.87499,-1.5,2.20835,-4.15555,-1.18012,22.124,0.00228156,0.00817537,0.00576764,99.6791,39.8158
0,-6.25002,7.16669,-4.91667,3.5,-1.69333,1.69333,-1.765,1.015,-2.29167,1.87499,-5.02316,0.314059,22.124,0.00228156,0.00792494,0.00574085,99.6791,39.8158
0,-6.25002,7.54168,-6.25002,7.16669,-4.91667,3.5,-1.69333,1.69333,-1.765,1.015,-4.61623,0.84643,22.124,0.00228156,0.00682971,0.00436653,99.6791,39.8158
0,-2.91663,3.95829,-6.25002,7.54168,-6.25002,7.16669,-4.91667,3.5,-1.69333,1.69333,-0.823339,-0.680738,22.124,0.00228156,0.0017353,0.00566139,99.6791,39.8158
0,-2.08334,2.25,-2.91663,3.95829,-6.25002,7.54168,-6.25002,7.16669,-4.91667,3.5,-0.438235,-1.81888,22.124,0.00228156,0.00192002,0.00609416,99.6791,39.8158
0,-3.00001,3.91668,-2.08334,2.25,-2.91663,3.95829,-6.25002,7.54168,-6.25002,7.16669,-2.45827,-3.67906,22.124,0.00228156,0.00687042,0.0157825,99.6791,39.8158
0,-4.08331,5.12497,-3.00001,3.91668,-2.08334,2.25,-2.91663,3.95829,-6.25002,7.54168,-3.75585,-0.387455,22.124,0.00228156,0.00692275,0.00874026,99.6791,39.8158
0,-6.16668,8.20835,-4.08331,5.12497,-3.00001,3.91668,-2.08334,2.25,-2.91663,3.95829,-5.37817,3.57658,22.124,0.00228156,0.00935523,-0.00275615,99.6791,39.8158
0,-6.33336,9.37502,-6.16668,8.20835,-4.08331,5.12497,-3.00001,3.91668,-2.08334,2.25,-4.77821,1.6953,22.124,0.00228156,0.00819901,0.00350728,99.6791,39.8158
0,-8.58328,9.87493,-6.33336,9.37502,-6.16668,8.20835,-4.08331,5.12497,-3.00001,3.91668,-6.4996,-1.69113,22.124,0.00228156,0.0124785,0.0161291,99.6791,39.8158
0,-10.9584,14.875,-8.58328,9.87493,-6.33336,9.37502,-6.16668,8.20835,-4.08331,5.12497,-8.30808,-1.23928,22.124,0.00228156,0.0159276,0.0194138,99.6791,39.8158
0,-6.625,8.54167,-10.9584,14.875,-8.58328,9.87493,-6.33336,9.37502,-6.16668,8.20835,-3.72581,-3.10255,22.124,0.00228156,0.00652672,0.0221615,99.6791,39.8158
0,-3.54168,4.58335,-6.625,8.54167,-10.9584,14.875,-8.58328,9.87493,-6.33336,9.37502,-1.08244,-1.1708,22.124,0.00228156,0.00399911,0.0108138,99.6791,39.8158
0,-4.45831,5.74997,-3.54168,4.58335,-6.625,8.54167,-10.9584,14.875,-8.58328,9.87493,-2.53572,-0.515857,22.124,0.00228156,0.00777713,0.00593355,99.6791,39.8158
0,-1.5,3.06604,-4.45831,5.74997,-3.54168,4.58335,-6.625,8.54167,-10.9584,14.875,-1.38598,-5.01226,22.124,0.00228156,0.00455772,0.0257984,99.6791,39.8158
0,0,0.235849,-1.5,3.06604,-4.45831,5.74997,-3.54168,4.58335,-6.625,8.54167,0.18559,6.34794,22.124,0.00228156,-0.000671157,-0.0183903,99.6791,39.8158
0,0,0.235849,0,0.235849,-1.5,3.06604,-4.45831,5.74997,-3.54168,4.58335,-0.125975,3.96811,22.124,0.00228156,0.00161991,-0.0152652,99.6791,39.8158
0,0,0.235849,0,0.235849,0,0.235849,-1.5,3.06604,-4.45831,5.74997,-0.682111,-1.17178,22.124,0.00228156,0.00169735,0.00427854,99.6791,39.8158
0,0,0.235849,0,0.235849,0,0.235849,0,0.235849,-1.5,3.06604,-0.431345,2.69223,22.124,0.00228156,0.000295621,-0.00909612,99.6791,39.8158
0,0,0.235849,0,0.235849,0,0.235849,0,0.235849,0,0.235849,-0.0753635,2.83483,22.124,0.00228156,-0.000559471,-0.011699,99.6791,39.8158
0,0,0.235849,0,0.235849,0,0.235849,0,0.235849,0,0.235849,-0.116636,-0.000317682,22.124,0.00228156,-3.11528e-05,-0.00222764,99.6791,39.8158
0,0,0.235849,0,0.235849,0,0.235849,0,0.235849,0,0.235849,-0.00155877,-4.39838e-06,22.124,0.00228156,-0.000357937,-0.00219147,99.6791,39.8158
0,0,0.235849,0,0.235849,0,0.235849,0,0.235849,0,0.235849,-0.0015512,-4.27486e-06,22.124,0.00228156,-0.000357958,-0.00219146,99.6791,39.8158
0,-0.833335,2.54717,0,0.235849,0,0.235849,0,0.235849,0,0.235849,-0.910405,-0.00294026,22.124,0.00228156,0.00150808,0.000320281,99.6791,39.8158
0,-5.41668,4.00001,-0.833335,2.54717,0,0.235849,0,0.235849,0,0.235849,-4.78433,-0.0159328,22.124,0.00228156,0.00851313,0.00193303,99.6791,39.8158
