trial,target x rel,target y rel,target x rel var,target y rel var,target x rel pred 40,target y rel pred 40,target x rel pred 40 var,target y rel pred 40 var,,"calculated using relative coordinates, h=5, c=100"
0,6.02489,-8.0153,225.31,253.893,-4.74011,0.0327854,954.772,885.783,,
0,0.910863,-7.88396,298.89,305.162,-4.74651,0.0504242,957.882,888.932,,
0,-1.72804,-6.09165,382.101,442.374,-4.73851,0.0661352,963.266,895.747,,
0,-3.18311,-2.90496,321.903,354.339,-4.78395,0.115576,960.855,885.646,,
0,-9.25766,1.10585,183.751,110.465,-4.88463,0.209066,952.769,860.803,,
0,-4.04118,1.58217,135.877,64.2762,-4.88657,0.202398,949.835,856.991,,
0,-5.046,0.414536,137.338,62.6873,-4.8878,0.202641,949.852,856.937,,
0,-4.3628,0.214492,133.729,62.5963,-4.88649,0.202126,949.715,856.842,,
0,-5.32201,0.360832,134.044,62.6378,-4.88655,0.202159,949.726,856.853,,
0,-11.856,3.19837,135.245,62.791,-4.88669,0.202081,949.764,856.908,,
0,-11.6816,4.30601,134.11,62.9567,-4.88543,0.201446,949.678,856.897,,
0,-12.3142,6.58473,146.225,68.0584,-4.87217,0.194619,949.088,858.03,,
0,-10.534,5.51099,182.031,75.1567,-4.80377,0.153274,946.053,860.391,,
0,-3.1981,1.39304,270.782,98.2475,-4.52897,-0.0097765,933.161,871.97,,
0,8.37271,-5.87268,77.1899,36.825,-4.15932,-0.245293,917.853,882.834,,
0,9.05893,-7.30045,21.9418,14.739,-4.10201,-0.27962,915.812,885.326,,
0,16.9822,-12.1888,141.717,76.3808,-5.07304,0.546705,981.079,941.01,,
0,-4.46272,-1.38318,1374.59,401.539,-5.9099,0.802564,1049.26,969.872,,
0,3.67734,-3.18124,989.392,685.423,-5.73129,0.873297,1029.3,967.758,,
0,-4.02923,-0.924354,949.362,49.8203,-5.88594,0.810578,1048.23,968.121,,
0,-2.69968,-1.24355,949.369,49.7323,-5.88597,0.810567,1048.23,968.121,,
0,21.1564,-1.31063,1085.21,1007.83,-5.53476,0.952372,1024.09,974.284,,
0,37.1544,-6.99163,1018.29,946.232,-5.8358,0.888174,1047.98,977.286,,
0,37.5601,-0.704402,1108.97,22.8535,-6.12326,0.689124,1057.73,967.29,,
0,36.1375,1.5077,1261.35,23.5752,-6.11955,0.68738,1057.33,967.598,,
0,37.8049,2.38707,908.924,24.4997,-6.11423,0.685829,1056.98,967.918,,
0,4.29397,4.00193,1374.59,401.539,-5.9099,0.802564,1049.26,969.872,,
0,2.48965,5.01438,1374.59,401.539,-5.9099,0.802564,1049.26,969.872,,
0,-13.139,-1.18246,949.37,49.7336,-5.88597,0.810567,1048.23,968.121,,
0,-12.3001,-0.872624,949.369,49.7323,-5.88597,0.810567,1048.23,968.121,,
0,-14.0547,-1.14532,949.369,49.7323,-5.88597,0.810567,1048.23,968.121,,
0,-20.3621,2.17121,1018.29,946.232,-5.8358,0.888174,1047.98,977.286,,
0,-25.9253,3.63559,1018.29,946.232,-5.8358,0.888174,1047.98,977.286,,
0,-26.8728,6.73704,2038.38,431.499,-6.06702,0.739096,1053.46,969.496,,
0,-34.9067,-2.14094,1634.49,249.83,-6.07313,0.72904,1055.73,969.177,,
0,-32.4552,-2.78378,1065.4,114.958,-6.11617,0.709164,1057.67,967.185,,
0,-37.5046,-0.97768,680.867,83.3538,-6.13242,0.690184,1055.42,965.983,,
0,-44.5001,-2.69415,252.852,12.6471,-6.14516,0.658582,1047.77,964.554,,
0,-45.1668,-4.56834,148.089,9.69582,-6.14446,0.651848,1046.31,964.263,,
0,2.77397,1.18517,1374.59,401.539,-5.9099,0.802564,1049.26,969.872,,
0,3.3721,0.623149,872.521,759.499,-5.90605,0.810307,1048.24,976.336,,
