s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost,subopt_score,goal_dist_sq,goalcost_dist,effortcost_dist,ubound_dist,timecost_dist
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.192076007,6,2.092996702,0.047338491,0.440800374,33.23194697,0.545926591,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.113997937,14,2.930789571,0.062511607,0.322446172,14.98678968,0.5236022,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.923513433,30,2.559904979,0.142039825,0.358327513,21.35696504,0.042290511,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,4.001821206,70,3.097915715,0.291778594,0.602808925,28.29287336,0.149635456,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,2.217808554,0,2.217808554,0,0,0,0,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3.643302258,24,3.324905853,0.095761029,0.35542386,19.01941287,0.771792979,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.495483165,31,3.063014452,0.141190556,0.385993368,29.07631941,0.701840311,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3.794845802,58,3.073401905,0.234737896,1.113818705,7.36856726,0.545084431,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2.330358058,7,2.249513128,0.035938857,1.10041673,10.91982839,0.56217347,0,0
4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,9,0.339161226,0.274036158,31.4846896,1,1,2,0.1,0.475075007,doubleIntegratorProblem,2.313894426,5,2.261152832,0.02332509,0.011442589,18.72851557,0.311708964,0,0
5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.358601937,20,2.092996702,0.126901889,1.327755842,14.2125341,0.225866388,0,0
5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.080437194,7,2.930789571,0.051060514,0.085829435,4.03262319,0.248190779,0,0
5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.876854299,25,2.559904979,0.123812924,0.430866275,2.33755217,0.81408349,0,0
5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.265206934,9,3.097915715,0.054001217,1.543532553,9.27346049,0.622157523,0,0
5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,2.63670916,34,2.217808554,0.188880418,0.35542386,19.01941287,0.771792979,0,0
