s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.4972184016258843,23,2.0929967024147089
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,2.9307895711612346,0,2.9307895711612346
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.6340404188770719,4,2.5599049792993003
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.4177063308692386,24,3.0979157154333281
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,3.1891689010056412,90,2.2178085536751051
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.5835230409711905,14,3.3249058531278175
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.1501018208857241,5,3.0630144519578133
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.5044231284125891,27,3.0734019047287262
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.4750083593086933,22,2.2495131283629797
1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.4016996045574572,4,2.2611528318881078
