trial,target x rel,target y rel,widget dx,widget dy
241,-76.2326149,-4.6311443,8.1666868,0
241,-78.7069144,-4.214467,7.7083509,-0.4166773
241,-82.8478198,-2.6311443,9.3749568,-1.5833227
241,-87.5721364,-2.6311443,9.958368,0
241,-92.7964057,-2.6311443,10.4583207,0
241,-95.5206594,-2.6311443,7.9583051,0
241,-99.244974,-2.6311443,8.958366,0
241,-102.2609152,-2.6311443,8.2499926,0
241,-102.6935347,-2.1311403,5.6666709,-0.500004
241,-102.5844617,-1.6311443,5.1249784,-0.499996
241,-99.2593054,-1.6311443,1.9088951,0
241,-94.9786436,-1.6311443,0.9533896,0
241,-90.6979819,-1.6311443,0.9533896,0
241,-86.4173201,-1.6311443,0.9533896,0
241,-82.1366583,-1.6311443,0.9533896,0
241,-77.8559964,-1.6311443,0.9533895,0
241,-73.5753346,-1.6311443,0.9533896,0
241,-69.2946728,-1.6311443,0.9533896,0
241,-65.014011,-1.6311443,0.9533896,0
241,-61.6189516,-1.6311443,1.838992,0
241,-64.884929,-1.6311443,8.5000288,0
241,-69.0258865,-1.6311443,9.3750089,0
241,-72.6667909,-1.6311443,8.8749558,0
241,-74.7244276,-1.6311443,7.2916881,0
241,-76.7820411,-1.6311443,7.2916649,0
241,-78.8396315,-1.6311443,7.2916418,0
241,-80.8972682,-1.6311443,7.2916881,0
241,-82.0382265,-1.6311443,6.3750097,0
241,-83.0125068,-1.6311443,6.2083317,0
241,-85.9584585,-1.6311443,8.1800031,0
241,-86.6693842,-1.6311443,5.9449771,0
241,-86.8936663,-1.6311443,5.4583335,0
241,-88.4893315,-1.6311443,6.8297166,0
241,-90.3005861,-1.6311443,7.045306,0
241,-92.3581706,-1.6311443,7.2916359,0
241,-92.0407882,-1.6311443,4.916669,0
241,-90.1400789,-1.6311443,3.333342,0
241,-85.8003845,-1.6311443,0.894357,0
241,-81.0358165,-1.6311443,0.4694834,0
241,-76.2712486,-1.6311443,0.4694835,0
241,-71.5066806,-1.6311443,0.4694834,0
241,-66.7421126,-1.6311443,0.4694834,0
241,-61.9775447,-1.6311443,0.4694835,0
241,-57.2129767,-1.6311443,0.4694834,0
241,-52.4484087,-1.6311443,0.4694834,0
241,-49.8669572,-1.6311443,2.6525999,0
241,-52.8213361,-2.0224534,8.1884303,0.3913091
241,-56.273877,-2.6311443,8.6865923,0.6086909
241,-58.3314789,-2.6311443,7.2916533,0
241,-59.3057434,-2.6311443,6.2083159,0
241,-58.6967022,-2.6311443,4.6250102,0
241,-58.2543069,-2.6311443,4.7916561,0
241,-55.5619135,-2.6311443,2.541658,0
241,-54.356858,-2.6311443,4.0289959,0
241,-54.3854988,-2.6311443,5.2626922,0
241,-53.526422,-2.6311443,4.3749746,0
241,-55.0840452,-2.6311443,6.7916745,0
241,-54.3916705,-2.6311443,4.5416767,0
241,-51.4076176,-2.6311443,2.2499985,0
241,-51.2568858,-2.6311443,5.0833196,0
241,-48.1061739,-2.6311443,2.0833395,0
241,-45.0387989,-2.6311443,2.1666764,0
241,-42.7947309,-2.6311443,2.9899834,0
241,-39.6956922,-2.6311443,2.1350127,0
241,-37.4199588,-2.6311443,2.958318,0
241,-34.0609122,-2.6311443,1.8750048,0
241,-30.6185439,-2.6311443,1.7916831,0
241,-28.6761459,-2.6311443,3.2916534,0
241,-24.4837572,-2.6311443,1.0416627,0
241,-21.9734491,-3.5545001,0.5154044,0
241,-22.4534613,-6.1193593,-0.4201682,0
241,-22.9334735,-8.6842185,-0.4201682,0
241,-23.4134858,-11.2490777,-0.4201682,0
241,-23.893498,-13.8139369,-0.4201682,0
241,-22.6912786,-15.2752472,-3.768077,-1.8000057
241,-19.5925641,-15.3008563,-6.7750042,-3.7000033
241,-16.6438376,-13.5264459,-6.6250162,-5.5000228
241,-14.2401386,-10.4920661,-6.0799888,-6.7599922
241,-11.0380849,-7.7276763,-6.8783434,-6.4900023
241,-10.4227386,-5.953315,-4.291636,-5.4999737
241,-8.5990248,-5.2622584,-5.5000035,-4.416669
241,-6.0252962,-3.987855,-6.2500183,-5.0000159
241,-5.0494169,-0.4888183,-4.652169,-7.2246491
241,-2.6278562,2.1442765,-6.0978504,-6.3587072
241,-0.0541871,5.6686229,-6.2499588,-7.2499588
241,2.6028809,10.2763682,-6.3333578,-8.3333578
241,7.2599424,15.0507843,-8.3333512,-8.5000285
241,11.6669392,21.3667804,-8.0832865,-10.0416085
241,13.9073299,24.7661871,-5.9166804,-7.1250191
241,14.3977108,26.457234,-4.1666706,-5.4166594
241,14.3880716,24.8149453,-3.6666505,-2.0833237
241,12.7951213,22.8810041,-2.0833394,-1.7916712
241,11.2021711,20.5303993,-2.0833395,-1.3750077
241,10.3592213,18.513115,-2.83334,-1.7083281
241,10.8495856,16.6625011,-4.166654,-1.8749985
241,10.9414164,15.1651497,-3.7681205,-2.228261
241,10.9970192,13.0446152,-3.7318925,-1.605078
241,12.6540545,13.7356692,-5.333325,-4.4166664
241,13.9777579,15.0100499,-4.9999931,-4.9999931
241,13.8014771,14.1177765,-3.5000089,-2.833339
241,13.9585363,13.8921828,-3.8333489,-3.5000188
241,14.4488956,13.5832176,-4.1666491,-3.4166472
241,13.3559364,12.1909377,-2.5833305,-2.3333325
241,11.7629862,9.7153257,-2.0833395,-1.2500005
241,9.7604486,6.6031843,-1.6737521,-0.613471
241,7.6798979,3.4094849,-1.595739,-0.531913
