trial,target x,target y,widget x,widget y
5,570,120,545.1743594,160.0632563
5,570,120,547.1584875,159.269605
5,570,120,549.1426157,158.4759538
5,570,120,552.1917752,155.5788698
5,570,120,556.6756528,150.2885397
5,570,120,562.2240234,143.9337209
5,570,120,565.4498403,139.9014497
5,570,120,566.7199997,137.8450008
5,570,120,568,138
5,570,120,568,138
5,570,120,568,138
5,570,120,568,138
5,570,120,568,138
6,504,324,358.158,198.158
6,504,324,358.6387695,198.478513
6,504,324,359.1195391,198.799026
6,504,324,359.6003086,199.1195391
6,504,324,360.0810782,199.4400521
6,504,324,360.5618477,199.7605651
6,504,324,361.0426172,200.0810782
6,504,324,382.609632,219.1580169
6,504,324,410.7830385,244.9705364
6,504,324,438.9323186,271.5452147
6,504,324,467.158,298.158
6,504,324,479.2548136,306.2225424
6,504,324,484.6096151,311.2225189
6,504,324,486.158,313.577355
6,504,324,486.3767516,314.158
6,504,324,487.158,314.158
6,504,324,491.9967254,320.6096339
6,504,324,496.8354226,326.4483264
6,504,324,500.4160651,330.4160651
6,504,324,502.3838093,332.3838093
6,504,324,504,334
6,504,324,504,334
6,504,324,504,334
6,504,324,504,334
6,504,324,504,334
7,194,324,223.033,235.033
7,194,324,221.4200977,237.0491278
7,194,324,219.8071954,239.0652557
7,194,324,217.7749349,242.9684853
7,194,324,215.3767452,249.0017642
7,194,324,213.033,256.033
7,194,324,210.6136559,260.0652402
7,194,324,207.5813968,267.1620079
7,194,324,204.7749349,273.5491302
7,194,324,202.3555774,277.7104226
7,194,324,199.9705046,280.0954953
7,194,324,198.4080078,281.6579922
7,194,324,196.8071984,282.033
7,194,324,197,283
7,194,324,197,283
7,194,324,197,283
7,194,324,197,283
7,194,324,197,283
8,588,324,173.8770001,150.8770001
8,588,324,175.7387002,151.9408287
8,588,324,177.6004003,153.0046574
8,588,324,179.4621005,154.068486
8,588,324,183.7801865,155.8447289
8,588,324,195.8770001,159.8770001
8,588,324,245.8767786,174.3930648
8,588,324,309.9735676,193.19952
8,588,324,381.4705643,219.939418
8,588,324,442.9091898,246.8124577
8,588,324,463.8770001,254.8770001
8,588,324,466.2963442,258.9092403
8,588,324,467.1205882,259.8770001
8,588,324,467.4411013,259.8770001
8,588,324,467.7616143,259.8770001
8,588,324,468.0821273,259.8770001
8,588,324,468.4026403,259.8770001
8,588,324,468.7231534,259.8770001
8,588,324,475.1672773,262.393111
8,588,324,488.6188335,267.6834128
8,588,324,505.8456779,274.3457152
8,588,324,530.0643788,286.0644414
8,588,324,541.3931072,292.5544049
8,588,324,548.6511664,297.393111
8,588,324,555.4576112,301.7802064
8,588,324,561.038278,304.9737668
8,588,324,565.0705182,307.393111
8,588,324,567.7519906,308.5019969
8,588,324,571.393111,310.5544073
8,588,324,576.2318096,313.7802064
8,588,324,581.1027892,316.9737668
8,588,324,586.7479255,319.393111
8,588,324,589.1673133,320.5221567
8,588,324,591,322
8,588,324,591,322
8,588,324,591,322
8,588,324,591,322
8,588,324,591,322
9,533,120,364.6900001,378.6900001
9,533,120,365.6900001,377.2900001
9,533,120,366.6900001,375.8900001
9,533,120,367.6900001,374.4900001
9,533,120,368.6900001,373.0900001
9,533,120,369.6900001,371.6900001
9,533,120,379.3673765,348.3030069
9,533,120,400.0770239,299.1740437
9,533,120,426.7211777,242.4401409
9,533,120,452.9480067,192.9158986
9,533,120,470.6900001,164.6900001
9,533,120,481.1738246,150.9803834
9,533,120,489.2061072,139.7222897
9,533,120,494.7867591,132.593241
9,533,120,498.1274916,129.4712543
9,533,120,499.6900001,128.6900001
9,533,120,499.6900001,127.883552
9,533,120,501.5287024,126.4641985
9,533,120,504,127
9,533,120,504,127
9,533,120,504,127
9,533,120,504,127
9,533,120,504,127
10,198,126,556.7520001,259.7520001
10,198,126,555.6767333,259.7520001
10,198,126,554.6014665,259.7520001
10,198,126,553.5261997,259.7520001
10,198,126,547.5585635,259.7520001
10,198,126,528.6895793,259.7207524
10,198,126,502.1271331,258.939504
10,198,126,457.7521508,246.4939842
10,198,126,416.139224,232.0423711
10,198,126,380.0103175,216.8811588
10,198,126,338.9778661,196.4294443
10,198,126,319.6231131,188.3649639
10,198,126,301.3770729,182.3770223
10,198,126,289.8165374,179.3326483
