trial,target x,target y,widget x,widget y,widget x[-1],widget x[-2],widget x[-3],widget y[-1],widget y[-2],widget y[-3]
4,590,364,589.721,345.9468092,589.721,589.3661643,588.721,344.5960063,343.0113286,341.0758452
4,590,364,589.7855265,346.8177898,589.721,589.721,589.3661643,345.9468092,344.5960063,343.0113286
4,590,364,591.3984226,349.2371339,589.7855265,589.721,589.721,346.8177898,345.9468092,344.5960063
4,590,364,591.721,350.3661643,591.3984226,589.7855265,589.721,349.2371339,346.8177898,345.9468092
4,590,364,593,352,591.721,591.3984226,589.7855265,350.3661643,349.2371339,346.8177898
4,590,364,593,352,593,591.721,591.3984226,352,350.3661643,349.2371339
4,590,364,593,352,593,593,591.721,352,352,350.3661643
4,590,364,593,352,593,593,593,352,352,352
4,590,364,593,352,593,593,593,352,352,352
5,570,120,542.095,158.095,542.095,542.095,542.095,158.095,158.095,158.095
5,570,120,542.4982256,158.095,542.095,542.095,542.095,158.095,158.095,158.095
5,570,120,542.9014512,158.095,542.4982256,542.095,542.095,158.095,158.095,158.095
5,570,120,543.5143551,158.9337101,542.9014512,542.4982256,542.095,158.095,158.095,158.095
5,570,120,544.3208076,160.095,543.5143551,542.9014512,542.4982256,158.9337101,158.095,158.095
5,570,120,545.1743594,160.0632563,544.3208076,543.5143551,542.9014512,160.095,158.9337101,158.095
5,570,120,547.1584875,159.269605,545.1743594,544.3208076,543.5143551,160.0632563,160.095,158.9337101
5,570,120,549.1426157,158.4759538,547.1584875,545.1743594,544.3208076,159.269605,160.0632563,160.095
5,570,120,552.1917752,155.5788698,549.1426157,547.1584875,545.1743594,158.4759538,159.269605,160.0632563
5,570,120,556.6756528,150.2885397,552.1917752,549.1426157,547.1584875,155.5788698,158.4759538,159.269605
5,570,120,562.2240234,143.9337209,556.6756528,552.1917752,549.1426157,150.2885397,155.5788698,158.4759538
5,570,120,565.4498403,139.9014497,562.2240234,556.6756528,552.1917752,143.9337209,150.2885397,155.5788698
5,570,120,566.7199997,137.8450008,565.4498403,562.2240234,556.6756528,139.9014497,143.9337209,150.2885397
5,570,120,568,138,566.7199997,565.4498403,562.2240234,137.8450008,139.9014497,143.9337209
5,570,120,568,138,568,566.7199997,565.4498403,138,137.8450008,139.9014497
5,570,120,568,138,568,568,566.7199997,138,138,137.8450008
5,570,120,568,138,568,568,568,138,138,138
5,570,120,568,138,568,568,568,138,138,138
6,504,324,358.158,198.158,358.158,358.158,358.158,198.158,198.158,198.158
6,504,324,358.6387695,198.478513,358.158,358.158,358.158,198.158,198.158,198.158
6,504,324,359.1195391,198.799026,358.6387695,358.158,358.158,198.478513,198.158,198.158
6,504,324,359.6003086,199.1195391,359.1195391,358.6387695,358.158,198.799026,198.478513,198.158
6,504,324,360.0810782,199.4400521,359.6003086,359.1195391,358.6387695,199.1195391,198.799026,198.478513
6,504,324,360.5618477,199.7605651,360.0810782,359.6003086,359.1195391,199.4400521,199.1195391,198.799026
6,504,324,361.0426172,200.0810782,360.5618477,360.0810782,359.6003086,199.7605651,199.4400521,199.1195391
6,504,324,382.609632,219.1580169,361.0426172,360.5618477,360.0810782,200.0810782,199.7605651,199.4400521
6,504,324,410.7830385,244.9705364,382.609632,361.0426172,360.5618477,219.1580169,200.0810782,199.7605651
6,504,324,438.9323186,271.5452147,410.7830385,382.609632,361.0426172,244.9705364,219.1580169,200.0810782
6,504,324,467.158,298.158,438.9323186,410.7830385,382.609632,271.5452147,244.9705364,219.1580169
6,504,324,479.2548136,306.2225424,467.158,438.9323186,410.7830385,298.158,271.5452147,244.9705364
6,504,324,484.6096151,311.2225189,479.2548136,467.158,438.9323186,306.2225424,298.158,271.5452147
6,504,324,486.158,313.577355,484.6096151,479.2548136,467.158,311.2225189,306.2225424,298.158
6,504,324,486.3767516,314.158,486.158,484.6096151,479.2548136,313.577355,311.2225189,306.2225424
6,504,324,487.158,314.158,486.3767516,486.158,484.6096151,314.158,313.577355,311.2225189
6,504,324,491.9967254,320.6096339,487.158,486.3767516,486.158,314.158,314.158,313.577355
6,504,324,496.8354226,326.4483264,491.9967254,487.158,486.3767516,320.6096339,314.158,314.158
6,504,324,500.4160651,330.4160651,496.8354226,491.9967254,487.158,326.4483264,320.6096339,314.158
6,504,324,502.3838093,332.3838093,500.4160651,496.8354226,491.9967254,330.4160651,326.4483264,320.6096339
6,504,324,504,334,502.3838093,500.4160651,496.8354226,332.3838093,330.4160651,326.4483264
6,504,324,504,334,504,502.3838093,500.4160651,334,332.3838093,330.4160651
6,504,324,504,334,504,504,502.3838093,334,334,332.3838093
6,504,324,504,334,504,504,504,334,334,334
6,504,324,504,334,504,504,504,334,334,334
7,194,324,223.033,235.033,223.033,223.033,223.033,235.033,235.033,235.033
7,194,324,221.4200977,237.0491278,223.033,223.033,223.033,235.033,235.033,235.033
7,194,324,219.8071954,239.0652557,221.4200977,223.033,223.033,237.0491278,235.033,235.033
7,194,324,217.7749349,242.9684853,219.8071954,221.4200977,223.033,239.0652557,237.0491278,235.033
7,194,324,215.3767452,249.0017642,217.7749349,219.8071954,221.4200977,242.9684853,239.0652557,237.0491278
7,194,324,213.033,256.033,215.3767452,217.7749349,219.8071954,249.0017642,242.9684853,239.0652557
7,194,324,210.6136559,260.0652402,213.033,215.3767452,217.7749349,256.033,249.0017642,242.9684853
7,194,324,207.5813968,267.1620079,210.6136559,213.033,215.3767452,260.0652402,256.033,249.0017642
7,194,324,204.7749349,273.5491302,207.5813968,210.6136559,213.033,267.1620079,260.0652402,256.033
7,194,324,202.3555774,277.7104226,204.7749349,207.5813968,210.6136559,273.5491302,267.1620079,260.0652402
7,194,324,199.9705046,280.0954953,202.3555774,204.7749349,207.5813968,277.7104226,273.5491302,267.1620079
7,194,324,198.4080078,281.6579922,199.9705046,202.3555774,204.7749349,280.0954953,277.7104226,273.5491302
7,194,324,196.8071984,282.033,198.4080078,199.9705046,202.3555774,281.6579922,280.0954953,277.7104226
7,194,324,197,283,196.8071984,198.4080078,199.9705046,282.033,281.6579922,280.0954953
7,194,324,197,283,197,196.8071984,198.4080078,283,282.033,281.6579922
7,194,324,197,283,197,197,196.8071984,283,283,282.033
7,194,324,197,283,197,197,197,283,283,283
7,194,324,197,283,197,197,197,283,283,283
8,588,324,173.8770001,150.8770001,173.8770001,173.8770001,173.8770001,150.8770001,150.8770001,150.8770001
8,588,324,175.7387002,151.9408287,173.8770001,173.8770001,173.8770001,150.8770001,150.8770001,150.8770001
8,588,324,177.6004003,153.0046574,175.7387002,173.8770001,173.8770001,151.9408287,150.8770001,150.8770001
8,588,324,179.4621005,154.068486,177.6004003,175.7387002,173.8770001,153.0046574,151.9408287,150.8770001
8,588,324,183.7801865,155.8447289,179.4621005,177.6004003,175.7387002,154.068486,153.0046574,151.9408287
8,588,324,195.8770001,159.8770001,183.7801865,179.4621005,177.6004003,155.8447289,154.068486,153.0046574
8,588,324,245.8767786,174.3930648,195.8770001,183.7801865,179.4621005,159.8770001,155.8447289,154.068486
8,588,324,309.9735676,193.19952,245.8767786,195.8770001,183.7801865,174.3930648,159.8770001,155.8447289
8,588,324,381.4705643,219.939418,309.9735676,245.8767786,195.8770001,193.19952,174.3930648,159.8770001
8,588,324,442.9091898,246.8124577,381.4705643,309.9735676,245.8767786,219.939418,193.19952,174.3930648
8,588,324,463.8770001,254.8770001,442.9091898,381.4705643,309.9735676,246.8124577,219.939418,193.19952
8,588,324,466.2963442,258.9092403,463.8770001,442.9091898,381.4705643,254.8770001,246.8124577,219.939418
8,588,324,467.1205882,259.8770001,466.2963442,463.8770001,442.9091898,258.9092403,254.8770001,246.8124577
8,588,324,467.4411013,259.8770001,467.1205882,466.2963442,463.8770001,259.8770001,258.9092403,254.8770001
8,588,324,467.7616143,259.8770001,467.4411013,467.1205882,466.2963442,259.8770001,259.8770001,258.9092403
8,588,324,468.0821273,259.8770001,467.7616143,467.4411013,467.1205882,259.8770001,259.8770001,259.8770001
8,588,324,468.4026403,259.8770001,468.0821273,467.7616143,467.4411013,259.8770001,259.8770001,259.8770001
8,588,324,468.7231534,259.8770001,468.4026403,468.0821273,467.7616143,259.8770001,259.8770001,259.8770001
8,588,324,475.1672773,262.393111,468.7231534,468.4026403,468.0821273,259.8770001,259.8770001,259.8770001
8,588,324,488.6188335,267.6834128,475.1672773,468.7231534,468.4026403,262.393111,259.8770001,259.8770001
8,588,324,505.8456779,274.3457152,488.6188335,475.1672773,468.7231534,267.6834128,262.393111,259.8770001
8,588,324,530.0643788,286.0644414,505.8456779,488.6188335,475.1672773,274.3457152,267.6834128,262.393111
8,588,324,541.3931072,292.5544049,530.0643788,505.8456779,488.6188335,286.0644414,274.3457152,267.6834128
8,588,324,548.6511664,297.393111,541.3931072,530.0643788,505.8456779,292.5544049,286.0644414,274.3457152
8,588,324,555.4576112,301.7802064,548.6511664,541.3931072,530.0643788,297.393111,292.5544049,286.0644414
8,588,324,561.038278,304.9737668,555.4576112,548.6511664,541.3931072,301.7802064,297.393111,292.5544049
8,588,324,565.0705182,307.393111,561.038278,555.4576112,548.6511664,304.9737668,301.7802064,297.393111
8,588,324,567.7519906,308.5019969,565.0705182,561.038278,555.4576112,307.393111,304.9737668,301.7802064
8,588,324,571.393111,310.5544073,567.7519906,565.0705182,561.038278,308.5019969,307.393111,304.9737668
8,588,324,576.2318096,313.7802064,571.393111,567.7519906,565.0705182,310.5544073,308.5019969,307.393111
8,588,324,581.1027892,316.9737668,576.2318096,571.393111,567.7519906,313.7802064,310.5544073,308.5019969
8,588,324,586.7479255,319.393111,581.1027892,576.2318096,571.393111,316.9737668,313.7802064,310.5544073
8,588,324,589.1673133,320.5221567,586.7479255,581.1027892,576.2318096,319.393111,316.9737668,313.7802064
8,588,324,591,322,589.1673133,586.7479255,581.1027892,320.5221567,319.393111,316.9737668
8,588,324,591,322,591,589.1673133,586.7479255,322,320.5221567,319.393111
8,588,324,591,322,591,591,589.1673133,322,322,320.5221567
8,588,324,591,322,591,591,591,322,322,322
8,588,324,591,322,591,591,591,322,322,322
9,533,120,364.6900001,378.6900001,364.6900001,364.6900001,364.6900001,378.6900001,378.6900001,378.6900001
9,533,120,365.6900001,377.2900001,364.6900001,364.6900001,364.6900001,378.6900001,378.6900001,378.6900001
9,533,120,366.6900001,375.8900001,365.6900001,364.6900001,364.6900001,377.2900001,378.6900001,378.6900001
9,533,120,367.6900001,374.4900001,366.6900001,365.6900001,364.6900001,375.8900001,377.2900001,378.6900001
9,533,120,368.6900001,373.0900001,367.6900001,366.6900001,365.6900001,374.4900001,375.8900001,377.2900001
9,533,120,369.6900001,371.6900001,368.6900001,367.6900001,366.6900001,373.0900001,374.4900001,375.8900001
9,533,120,379.3673765,348.3030069,369.6900001,368.6900001,367.6900001,371.6900001,373.0900001,374.4900001
9,533,120,400.0770239,299.1740437,379.3673765,369.6900001,368.6900001,348.3030069,371.6900001,373.0900001
9,533,120,426.7211777,242.4401409,400.0770239,379.3673765,369.6900001,299.1740437,348.3030069,371.6900001
9,533,120,452.9480067,192.9158986,426.7211777,400.0770239,379.3673765,242.4401409,299.1740437,348.3030069
9,533,120,470.6900001,164.6900001,452.9480067,426.7211777,400.0770239,192.9158986,242.4401409,299.1740437
9,533,120,481.1738246,150.9803834,470.6900001,452.9480067,426.7211777,164.6900001,192.9158986,242.4401409
9,533,120,489.2061072,139.7222897,481.1738246,470.6900001,452.9480067,150.9803834,164.6900001,192.9158986
9,533,120,494.7867591,132.593241,489.2061072,481.1738246,470.6900001,139.7222897,150.9803834,164.6900001
9,533,120,498.1274916,129.4712543,494.7867591,489.2061072,481.1738246,132.593241,139.7222897,150.9803834
9,533,120,499.6900001,128.6900001,498.1274916,494.7867591,489.2061072,129.4712543,132.593241,139.7222897
9,533,120,499.6900001,127.883552,499.6900001,498.1274916,494.7867591,128.6900001,129.4712543,132.593241
9,533,120,501.5287024,126.4641985,499.6900001,499.6900001,498.1274916,127.883552,128.6900001,129.4712543
9,533,120,504,127,501.5287024,499.6900001,499.6900001,126.4641985,127.883552,128.6900001
9,533,120,504,127,504,501.5287024,499.6900001,127,126.4641985,127.883552
9,533,120,504,127,504,504,501.5287024,127,127,126.4641985
9,533,120,504,127,504,504,504,127,127,127
9,533,120,504,127,504,504,504,127,127,127
10,198,126,556.7520001,259.7520001,556.7520001,556.7520001,556.7520001,259.7520001,259.7520001,259.7520001
10,198,126,555.6767333,259.7520001,556.7520001,556.7520001,556.7520001,259.7520001,259.7520001,259.7520001
10,198,126,554.6014665,259.7520001,555.6767333,556.7520001,556.7520001,259.7520001,259.7520001,259.7520001
10,198,126,553.5261997,259.7520001,554.6014665,555.6767333,556.7520001,259.7520001,259.7520001,259.7520001
10,198,126,547.5585635,259.7520001,553.5261997,554.6014665,555.6767333,259.7520001,259.7520001,259.7520001
10,198,126,528.6895793,259.7207524,547.5585635,553.5261997,554.6014665,259.7520001,259.7520001,259.7520001
10,198,126,502.1271331,258.939504,528.6895793,547.5585635,553.5261997,259.7207524,259.7520001,259.7520001
10,198,126,457.7521508,246.4939842,502.1271331,528.6895793,547.5585635,258.939504,259.7207524,259.7520001
10,198,126,416.139224,232.0423711,457.7521508,502.1271331,528.6895793,246.4939842,258.939504,259.7207524
10,198,126,380.0103175,216.8811588,416.139224,457.7521508,502.1271331,232.0423711,246.4939842,258.939504
10,198,126,338.9778661,196.4294443,380.0103175,416.139224,457.7521508,216.8811588,232.0423711,246.4939842
10,198,126,319.6231131,188.3649639,338.9778661,380.0103175,416.139224,196.4294443,216.8811588,232.0423711
10,198,126,301.3770729,182.3770223,319.6231131,338.9778661,380.0103175,188.3649639,196.4294443,216.8811588
10,198,126,289.8165374,179.3326483,301.3770729,319.6231131,338.9778661,182.3770223,188.3649639,196.4294443
10,198,126,285.5261985,178.3003969,289.8165374,301.3770729,319.6231131,179.3326483,182.3770223,188.3649639
10,198,126,284.7200024,176.7360013,285.5261985,289.8165374,301.3770729,178.3003969,179.3326483,182.3770223
10,198,126,283.9200024,176.3360013,284.7200024,285.5261985,289.8165374,176.7360013,178.3003969,179.3326483
10,198,126,283.1200024,175.9360013,283.9200024,284.7200024,285.5261985,176.3360013,176.7360013,178.3003969
10,198,126,282.3200024,175.5360013,283.1200024,283.9200024,284.7200024,175.9360013,176.3360013,176.7360013
10,198,126,281.5200024,175.1360013,282.3200024,283.1200024,283.9200024,175.5360013,175.9360013,176.3360013
10,198,126,280.7200024,174.7360013,281.5200024,282.3200024,283.1200024,175.1360013,175.5360013,175.9360013
10,198,126,279.9200024,174.3360013,280.7200024,281.5200024,282.3200024,174.7360013,175.1360013,175.5360013
10,198,126,279.1200024,173.9360013,279.9200024,280.7200024,281.5200024,174.3360013,174.7360013,175.1360013
