trial,target x,target y,widget x,widget y,widget x [-1],widget y [-1],widget x [-2],widget y [-2],widget x [-2],widget y [-2]
241,264.1578599,294.540007,301.8279998,275.6247054,301.8279998,275.3888563,301.8279998,275.1530071,301.8279998,274.9171579
241,260.4815702,298.2656194,301.8279998,275.8605546,301.8279998,275.6247054,301.8279998,275.3888563,301.8279998,275.1530071
241,256.8052805,301.9912318,301.8279998,276.0964038,301.8279998,275.8605546,301.8279998,275.6247054,301.8279998,275.3888563
241,253.1289908,305.7168442,300.9946652,278.643576,301.8279998,276.0964038,301.8279998,275.8605546,301.8279998,275.6247054
241,249.4527011,309.4424567,295.5779834,282.6435829,300.9946652,278.643576,301.8279998,276.0964038,301.8279998,275.8605546
241,245.7764113,313.1680691,288.4112926,288.6436068,295.5779834,282.6435829,300.9946652,278.643576,301.8279998,276.0964038
241,242.1001216,316.8936815,280.1613385,295.8519007,288.4112926,288.6436068,295.5779834,282.6435829,300.9946652,278.643576
241,238.4238319,320.619294,272.8279879,301.1435799,280.1613385,295.8519007,288.4112926,288.6436068,295.5779834,282.6435829
241,234.7475422,324.3449064,266.577972,305.2685859,272.8279879,301.1435799,280.1613385,295.8519007,288.4112926,288.6436068
241,231.0712525,328.0705188,260.4113423,308.476898,266.577972,305.2685859,272.8279879,301.1435799,280.1613385,295.8519007
241,227.3949628,331.7961312,254.8279899,312.7685782,260.4113423,308.476898,266.577972,305.2685859,272.8279879,301.1435799
241,223.7186731,335.5217437,246.827974,318.3102688,254.8279899,312.7685782,260.4113423,308.476898,266.577972,305.2685859
241,220.0423834,339.2473561,240.577968,325.1852652,246.827974,318.3102688,254.8279899,312.7685782,260.4113423,308.476898
241,216.3660936,342.9729685,234.8679953,330.1035766,240.577968,325.1852652,246.827974,318.3102688,254.8279899,312.7685782
241,212.6898039,346.6985809,231.5779959,333.8935839,234.8679953,330.1035766,240.577968,325.1852652,246.827974,318.3102688
241,209.0135142,350.4241934,229.0780023,337.310237,231.5779959,333.8935839,234.8679953,330.1035766,240.577968,325.1852652
241,205.3372245,354.1498058,222.8279839,342.1435879,229.0780023,337.310237,231.5779959,333.8935839,234.8679953,330.1035766
241,201.6609348,357.8754182,216.9529713,348.0186006,222.8279839,342.1435879,229.0780023,337.310237,231.5779959,333.8935839
241,197.9846451,361.6010307,211.327972,353.6435998,216.9529713,348.0186006,222.8279839,342.1435879,229.0780023,337.310237
241,194.3083554,365.3266431,205.1879815,360.6635964,211.327972,353.6435998,216.9529713,348.0186006,222.8279839,342.1435879
241,190.6320657,369.0522555,199.5363166,367.8935919,205.1879815,360.6635964,211.327972,353.6435998,216.9529713,348.0186006
241,186.9557759,372.7778679,194.8279959,373.643577,199.5363166,367.8935919,205.1879815,360.6635964,211.327972,353.6435998
241,183.2794862,376.5034804,190.6613169,379.3935963,194.8279959,373.643577,199.5363166,367.8935919,205.1879815,360.6635964
