trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target rel x,target rel y
2,0.8366878,-0.8366878,2.5483874,-1.9677424,2.6451644,-2.0322606,2.0161279,-1.6129023,2.0161278,-1.6129023,36.2475046,-35.6275047
2,1.5624968,-1.5624968,0.8366878,-0.8366878,2.5483874,-1.9677424,2.6451644,-2.0322606,2.0161279,-1.6129023,34.6850078,-34.0650079
2,4.0524126,-2.826611,1.5624968,-1.5624968,0.8366878,-0.8366878,2.5483874,-1.9677424,2.6451644,-2.0322606,30.6325952,-31.2383969
2,4.0000154,-3.225817,4.0524126,-2.826611,1.5624968,-1.5624968,0.8366878,-0.8366878,2.5483874,-1.9677424,26.6325798,-28.0125799
2,3.4516176,-3.22581,4.0000154,-3.225817,4.0524126,-2.826611,1.5624968,-1.5624968,0.8366878,-0.8366878,23.1809622,-24.7867699
2,3.9032181,-3.0967698,3.4516176,-3.22581,4.0000154,-3.225817,4.0524126,-2.826611,1.5624968,-1.5624968,19.2777441,-21.6900001
2,0.8064542,0,3.9032181,-3.0967698,3.4516176,-3.22581,4.0000154,-3.225817,4.0524126,-2.826611,18.4712899,-21.6900001
2,0.4787509,-0.317461,0.8064542,0,3.9032181,-3.0967698,3.4516176,-3.22581,4.0000154,-3.225817,17.992539,-21.3725391
2,0.3968256,-0.3968256,0.4787509,-0.317461,0.8064542,0,3.9032181,-3.0967698,3.4516176,-3.22581,17.5957134,-20.9757135
2,1.1889436,-0.511521,0.3968256,-0.3968256,0.4787509,-0.317461,0.8064542,0,3.9032181,-3.0967698,16.4067698,-20.4641925
2,3.1612815,-0.7741924,1.1889436,-0.511521,0.3968256,-0.3968256,0.4787509,-0.317461,0.8064542,0,13.2454883,-19.6900001
2,1.6129085,0,3.1612815,-0.7741924,1.1889436,-0.511521,0.3968256,-0.3968256,0.4787509,-0.317461,11.6325798,-19.6900001
2,1.6325798,1.3099999,1.6129085,0,3.1612815,-0.7741924,1.1889436,-0.511521,0.3968256,-0.3968256,10,-21
2,0,0,1.6325798,1.3099999,1.6129085,0,3.1612815,-0.7741924,1.1889436,-0.511521,10,-21
2,0,0,0,0,1.6325798,1.3099999,1.6129085,0,3.1612815,-0.7741924,10,-21
2,0,0,0,0,0,0,1.6325798,1.3099999,1.6129085,0,10,-21
2,0,0,0,0,0,0,0,0,1.6325798,1.3099999,10,-21
3,0,0,0,0,0,0,0,0,0,0,-219.7519999,-115.7519999
3,-0.4032256,0,0,0,0,0,0,0,0,0,-219.3487743,-115.7519999
3,-0.4032256,0,-0.4032256,0,0,0,0,0,0,0,-218.9455487,-115.7519999
3,-1.006051,0,-0.4032256,0,-0.4032256,0,0,0,0,0,-217.9394977,-115.7519999
3,-2.7359135,-0.387104,-1.006051,0,-0.4032256,0,-0.4032256,0,0,0,-215.2035842,-115.3648959
3,-6.4515843,-1.612896,-2.7359135,-0.387104,-1.006051,0,-0.4032256,0,-0.4032256,0,-208.7519999,-113.7519999
3,-10.4839052,-4.0322713,-6.4515843,-1.612896,-2.7359135,-0.387104,-1.006051,0,-0.4032256,0,-198.2680947,-109.7197286
3,-34.9999947,-22.4193608,-10.4839052,-4.0322713,-6.4515843,-1.612896,-2.7359135,-0.387104,-1.006051,0,-163.2681,-87.3003678
3,-43.5806272,-29.4838594,-34.9999947,-22.4193608,-10.4839052,-4.0322713,-6.4515843,-1.612896,-2.7359135,-0.387104,-119.6874728,-57.8165084
3,-43.3105553,-27.3145465,-43.5806272,-29.4838594,-34.9999947,-22.4193608,-10.4839052,-4.0322713,-6.4515843,-1.612896,-76.3769175,-30.5019619
3,-40.6249176,-18.749962,-43.3105553,-27.3145465,-43.5806272,-29.4838594,-34.9999947,-22.4193608,-10.4839052,-4.0322713,-35.7519999,-11.7519999
3,-7.2580882,-2.4193628,-40.6249176,-18.749962,-43.3105553,-27.3145465,-43.5806272,-29.4838594,-34.9999947,-22.4193608,-28.4939117,-9.3326371
3,-6.645142,-3.0322523,-7.2580882,-2.4193628,-40.6249176,-18.749962,-43.3105553,-27.3145465,-43.5806272,-29.4838594,-21.8487697,-6.3003848
3,-6.0322551,-1.96774,-6.645142,-3.0322523,-7.2580882,-2.4193628,-40.6249176,-18.749962,-43.3105553,-27.3145465,-15.8165146,-4.3326448
3,-5.6451797,-1.0322635,-6.0322551,-1.96774,-6.645142,-3.0322523,-7.2580882,-2.4193628,-40.6249176,-18.749962,-10.1713349,-3.3003813
3,-5.4818453,-1.5796366,-5.6451797,-1.0322635,-6.0322551,-1.96774,-6.645142,-3.0322523,-7.2580882,-2.4193628,-4.6894896,-1.7207447
3,-1.5624968,-0.7812484,-5.4818453,-1.5796366,-5.6451797,-1.0322635,-6.0322551,-1.96774,-6.645142,-3.0322523,-3.1269928,-0.9394963
3,-0.681446,-0.1874964,-1.5624968,-0.7812484,-5.4818453,-1.5796366,-5.6451797,-1.0322635,-6.0322551,-1.96774,-2.4455468,-0.7519999
3,-0.4032256,0,-0.681446,-0.1874964,-1.5624968,-0.7812484,-5.4818453,-1.5796366,-5.6451797,-1.0322635,-2.0423212,-0.7519999
3,0.9576788,1.2480001,-0.4032256,0,-0.681446,-0.1874964,-1.5624968,-0.7812484,-5.4818453,-1.5796366,-3,-2
3,0,0,0.9576788,1.2480001,-0.4032256,0,-0.681446,-0.1874964,-1.5624968,-0.7812484,-3,-2
3,0,0,0,0,0.9576788,1.2480001,-0.4032256,0,-0.681446,-0.1874964,-3,-2
3,0,0,0,0,0,0,0.9576788,1.2480001,-0.4032256,0,-3,-2
3,0,0,0,0,0,0,0,0,0.9576788,1.2480001,-3,-2
4,0,0,0,0,0,0,0,0,0,0,42.279,181.279
4,0,0.8064521,0,0,0,0,0,0,0,0,42.279,180.4725479
4,0,0.8064522,0,0.8064521,0,0,0,0,0,0,42.279,179.6660957
4,0,0.8064522,0,0.8064522,0,0.8064521,0,0,0,0,42.279,178.8596435
4,0.8750063,4.9556751,0,0.8064522,0,0.8064522,0,0.8064521,0,0,41.4039937,173.9039684
4,3.1249937,15.6249684,0.8750063,4.9556751,0,0.8064522,0,0.8064522,0,0.8064521,38.279,158.279
4,5.6451797,25.8065357,3.1249937,15.6249684,0.8750063,4.9556751,0,0.8064522,0,0.8064522,32.6338203,132.4724643
4,5.0322712,22.1290849,5.6451797,25.8065357,3.1249937,15.6249684,0.8750063,4.9556751,0,0.8064522,27.6015491,110.3433794
4,5.2580656,20.5483669,5.0322712,22.1290849,5.6451797,25.8065357,3.1249937,15.6249684,0.8750063,4.9556751,22.3434835,89.7950125
4,4.7419113,16.7741053,5.2580656,20.5483669,5.0322712,22.1290849,5.6451797,25.8065357,3.1249937,15.6249684,17.6015722,73.0209072
