trial,target r,target y,target x,iteration,time,widget x,widget y
28,63,214,130,10,0.5,135,171
28,63,214,130,11,0.55,135,171
28,63,214,130,12,0.6,135,171
28,63,214,130,13,0.65,135,171
28,63,214,130,14,0.7,135,171
29,69,225,371,0,0.0,535.813999891,173.813999891
29,69,225,371,1,0.05,530.975293042,174.620451033
29,69,225,371,2,0.1,489.970178645,191.75152839
29,69,225,371,3,0.15,406.426745328,223.555993231
29,69,225,371,4,0.2,376.813999891,232.233354928
29,69,225,371,5,0.25,378,234
29,69,225,371,6,0.3,378,234
29,69,225,371,7,0.35,378,234
29,69,225,371,8,0.4,378,234
29,69,225,371,9,0.45,378,234
30,13,228,198,0,0.0,140.503000021,334.503000021
30,13,228,198,1,0.05,140.503000021,334.103000021
30,13,228,198,2,0.1,140.503000021,333.703000021
30,13,228,198,3,0.15,145.341725477,317.373915166
30,13,228,198,4,0.2,162.815464817,282.721806739
30,13,228,198,5,0.25,179.503000021,256.503000021
30,13,228,198,6,0.3,189.115903793,240.051384935
30,13,228,198,7,0.35,191.503000021,237.284248438
30,13,228,198,8,0.4,191.906225592,236.09977445
30,13,228,198,9,0.45,192.922355058,234.664289947
30,13,228,198,10,0.5,194.01093785,232.487124362
30,13,228,198,11,0.55,194.503000021,231.196546957
30,13,228,198,12,0.6,194.728807564,230.503000021
30,13,228,198,13,0.65,197,232
30,13,228,198,14,0.7,197,232
30,13,228,198,15,0.75,197,232
30,13,228,198,16,0.8,197,232
30,13,228,198,17,0.85,197,232
31,52,366,349,0,0.0,515.970000029,363.970000029
31,52,366,349,1,0.05,515.570000029,363.970000029
31,52,366,349,2,0.1,515.170000029,363.970000029
31,52,366,349,3,0.15,494.002189718,363.970000029
31,52,366,349,4,0.2,417.131283802,363.550644991
31,52,366,349,5,0.25,379.90750422,359.970000029
31,52,366,349,6,0.3,379,361
31,52,366,349,7,0.35,379,361
31,52,366,349,8,0.4,379,361
31,52,366,349,9,0.45,379,361
31,52,366,349,10,0.5,379,361
32,10,258,140,0,0.0,485.032999992,280.032999992
32,10,258,140,1,0.05,479.845496081,280.032999992
