trial,target x rel,target y rel,widget x,widget y
241,-78.7069144,-4.214467,-29.1249523,261.5833227
241,-82.8478198,-2.6311443,-19.7499955,260
241,-87.5721364,-2.6311443,-9.7916275,260
241,-92.7964057,-2.6311443,0.6666932,260
241,-95.5206594,-2.6311443,8.6249983,260
241,-99.244974,-2.6311443,17.5833643,260
241,-102.2609152,-2.6311443,25.8333569,260
241,-102.6935347,-2.1311403,31.5000278,259.499996
241,-102.5844617,-1.6311443,36.6250062,259
241,-99.2593054,-1.6311443,38.5339013,259
241,-94.9786436,-1.6311443,39.4872909,259
241,-90.6979819,-1.6311443,40.4406805,259
241,-86.4173201,-1.6311443,41.3940701,259
241,-82.1366583,-1.6311443,42.3474597,259
241,-77.8559964,-1.6311443,43.3008492,259
241,-73.5753346,-1.6311443,44.2542388,259
241,-69.2946728,-1.6311443,45.2076284,259
241,-65.014011,-1.6311443,46.161018,259
241,-61.6189516,-1.6311443,48.00001,259
241,-64.884929,-1.6311443,56.5000388,259
241,-69.0258865,-1.6311443,65.8750477,259
241,-72.6667909,-1.6311443,74.7500035,259
241,-74.7244276,-1.6311443,82.0416916,259
241,-76.7820411,-1.6311443,89.3333565,259
241,-78.8396315,-1.6311443,96.6249983,259
241,-80.8972682,-1.6311443,103.9166864,259
241,-82.0382265,-1.6311443,110.2916961,259
241,-83.0125068,-1.6311443,116.5000278,259
241,-85.9584585,-1.6311443,124.6800309,259
241,-86.6693842,-1.6311443,130.625008,259
241,-86.8936663,-1.6311443,136.0833415,259
241,-88.4893315,-1.6311443,142.9130581,259
241,-90.3005861,-1.6311443,149.9583641,259
241,-92.3581706,-1.6311443,157.25,259
241,-92.0407882,-1.6311443,162.166669,259
241,-90.1400789,-1.6311443,165.500011,259
241,-85.8003845,-1.6311443,166.394368,259
241,-81.0358165,-1.6311443,166.8638514,259
241,-76.2712486,-1.6311443,167.3333349,259
241,-71.5066806,-1.6311443,167.8028183,259
241,-66.7421126,-1.6311443,168.2723017,259
241,-61.9775447,-1.6311443,168.7417852,259
241,-57.2129767,-1.6311443,169.2112686,259
241,-52.4484087,-1.6311443,169.680752,259
241,-49.8669572,-1.6311443,172.3333519,259
241,-52.8213361,-2.0224534,180.5217822,259.3913091
241,-56.273877,-2.6311443,189.2083745,260
241,-58.3314789,-2.6311443,196.5000278,260
241,-59.3057434,-2.6311443,202.7083437,260
241,-58.6967022,-2.6311443,207.3333539,260
241,-58.2543069,-2.6311443,212.12501,260
241,-55.5619135,-2.6311443,214.666668,260
241,-54.356858,-2.6311443,218.6956639,260
241,-54.3854988,-2.6311443,223.9583561,260
241,-53.526422,-2.6311443,228.3333307,260
241,-55.0840452,-2.6311443,235.1250052,260
241,-54.3916705,-2.6311443,239.6666819,260
241,-51.4076176,-2.6311443,241.9166804,260
241,-51.2568858,-2.6311443,247,260
241,-48.1061739,-2.6311443,249.0833395,260
241,-45.0387989,-2.6311443,251.2500159,260
241,-42.7947309,-2.6311443,254.2399993,260
241,-39.6956922,-2.6311443,256.375012,260
241,-37.4199588,-2.6311443,259.33333,260
241,-34.0609122,-2.6311443,261.2083348,260
241,-30.6185439,-2.6311443,263.0000179,260
241,-28.6761459,-2.6311443,266.2916713,260
241,-24.4837572,-2.6311443,267.333334,260
241,-21.9734491,-3.5545001,267.8487384,260
241,-22.4534613,-6.1193593,267.4285702,260
241,-22.9334735,-8.6842185,267.008402,260
241,-23.4134858,-11.2490777,266.5882338,260
241,-23.893498,-13.8139369,266.1680656,260
241,-22.6912786,-15.2752472,262.3999886,258.1999943
241,-19.5925641,-15.3008563,255.6249844,254.499991
241,-16.6438376,-13.5264459,248.9999682,248.9999682
241,-14.2401386,-10.4920661,242.9199794,242.239976
241,-11.0380849,-7.7276763,236.041636,235.7499737
241,-10.4227386,-5.953315,231.75,230.25
241,-8.5990248,-5.2622584,226.2499965,225.833331
241,-6.0252962,-3.987855,219.9999782,220.8333151
241,-5.0494169,-0.4888183,215.3478092,213.608666
241,-2.6278562,2.1442765,209.2499588,207.2499588
241,-0.0541871,5.6686229,203,200
241,2.6028809,10.2763682,196.6666422,191.6666422
241,7.2599424,15.0507843,188.333291,183.1666137
241,11.6669392,21.3667804,180.2500045,173.1250052
241,13.9073299,24.7661871,174.3333241,165.9999861
241,14.3977108,26.457234,170.1666535,160.5833267
241,14.3880716,24.8149453,166.500003,158.500003
241,12.7951213,22.8810041,164.4166636,156.7083318
241,11.2021711,20.5303993,162.3333241,155.3333241
241,10.3592213,18.513115,159.4999841,153.624996
241,10.8495856,16.6625011,155.3333301,151.7499975
241,10.9414164,15.1651497,151.5652096,149.5217365
241,10.9970192,13.0446152,147.8333171,147.9166585
241,12.6540545,13.7356692,142.4999921,143.4999921
241,13.9777579,15.0100499,137.499999,138.499999
241,13.8014771,14.1177765,133.9999901,135.66666
241,13.9585363,13.8921828,130.1666412,132.1666412
241,14.4488956,13.5832176,125.9999921,128.749994
241,13.3559364,12.1909377,123.4166616,126.4166615
241,11.7629862,9.7153257,121.3333221,125.166661
241,9.7604486,6.6031843,119.65957,124.55319
241,7.6798979,3.4094849,118.063831,124.021277
241,4.5572344,0.6847398,117.5102048,123.0204096
241,1.3911485,-2.0204649,117.000001,122.0000019
241,0.7981953,-3.6627399,113.9166645,119.9166645
241,-0.62808,-5.2216754,111.6666501,117.7499876
241,-0.3877078,-5.6972765,107.7499881,114.4999762
241,-1.4806744,-5.0895777,105.166665,110.166665
241,-0.1569522,-3.3985047,100.1666531,104.7499796
241,0.833435,-0.6241097,95.4999762,98.2499722
241,2.8237865,2.3585813,89.833335,91.5416687
241,3.3141757,3.8413175,85.6666561,86.3333201
241,3.4295592,4.1990366,81.8749829,82.2499886
241,3.2949376,2.1400841,78.3333148,80.5833287
241,2.3926551,-0.5558916,75.9778672,79.9778672
241,-0.2820619,-3.2671687,75.9275654,79.9275654
241,-2.956779,-5.9784457,75.8772636,79.8772635
241,-5.631496,-8.6897228,75.8269618,79.8269617
241,-8.3062131,-11.4009999,75.77666,79.7766599
241,-10.98093,-14.112277,75.7263581,79.7263581
241,-13.6556471,-16.8235541,75.6760563,79.6760563
241,-16.3303641,-19.5348312,75.6257545,79.6257545
241,-19.0050812,-22.2461083,75.5754527,79.5754527
241,-21.6797982,-24.9573854,75.5251509,79.5251509
241,-24.3545153,-27.6686624,75.4748491,79.474849
241,-27.0292323,-30.3799395,75.4245473,79.4245472
241,-29.7039494,-33.0912166,75.3742455,79.3742454
