#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
15.275,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0511571,	-0.0208864,	1.20329,	-0.0077086,	0.999963,	-0.00373278,	8.18204,	658.39,	53.7474,	-52.6925,	1.09322,	-5.1902
15.275,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0343635,	0.0154144,	1.24849,	0.823759,	0.00429277,	-0.551176,	501.875,	6.93107,	148.262,	2.04526,	65.4858,	-9.98499
15.275,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0414601,	0.0167128,	1.24971,	-0.0801835,	-0.00431201,	-0.989545,	-530.61,	0.171153,	-894.741,	-9.23532,	-84.9524,	5.59511
15.275,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0340002,	-0.0101848,	1.24784,	0.963236,	0.00642879,	-0.266999,	82.7401,	5.39536,	-0.24766,	-0.658827,	10.1538,	1.06068
15.275,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	8,	0.0365264,	-0.00640759,	1.24995,	0.148019,	-0.00253494,	-0.984752,	-309.226,	1.50421,	-1240.06,	12.952,	-66.0926,	-3.30811
15.276,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.043361,	0.0286595,	1.20117,	0.00775495,	-0.999963,	0.00375394,	-17.4157,	-49.7168,	49.0153,	5.02703,	-0.544838,	1.23041
15.276,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0340885,	-0.0101288,	1.24807,	0.935097,	0.00595897,	-0.344405,	86.9688,	3.05443,	49.2387,	-1.08596,	11.9004,	1.17989
15.276,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0363182,	-0.00563136,	1.24991,	0.189359,	-0.00220394,	-0.978259,	-310.097,	9.78939,	-1278.85,	9.8728,	-67.616,	-3.48007
15.277,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0511662,	-0.0209109,	1.20347,	-0.00778813,	0.999963,	-0.00365286,	21.0145,	643.979,	52.4611,	-51.6773,	2.08549,	-4.72608
15.277,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.03426,	0.0153322,	1.2485,	0.819829,	0.00435721,	-0.555149,	480.022,	0.190172,	155.512,	3.02307,	62.9928,	-9.40865
15.277,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0440255,	0.0164522,	1.24965,	0.0157311,	-0.00353,	-0.99987,	-425.271,	-1.34899,	-866.6,	-15.1765,	-65.8782,	7.293
15.277,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	5,	0.0339684,	-0.0099755,	1.24779,	0.963014,	0.00652271,	-0.267627,	91.0158,	5.66307,	-4.99945,	-0.623208,	11.051,	1.17196
15.277,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	9,	0.0364967,	-0.00647309,	1.24988,	0.149994,	-0.00242978,	-0.984942,	-335.924,	9.20162,	-1237.32,	11.9407,	-69.2488,	-3.75378
15.278,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0433093,	0.0286408,	1.20124,	0.00782645,	-0.999963,	0.00368311,	-9.93371,	-45.2466,	45.4098,	4.60021,	-0.0303335,	0.972317
15.278,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0339351,	-0.0101412,	1.2478,	0.96462,	0.00658474,	-0.26202,	147.543,	4.58357,	84.2422,	-1.77744,	20.208,	2.01354
