#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
13.205,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345178,	0.0101939,	1.24807,	0.923177,	0.0018534,	-0.38437,	107.291,	0.0335375,	44.1768,	0.0825369,	14.2993,	-0.21131
13.205,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434464,	0.0163117,	1.24977,	0.00020048,	3.85758e-06,	-1,	-135.448,	-4.77124,	-509.261,	-6.29218,	-25.078,	1.74019
13.206,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344487,	-0.00906864,	1.2477,	0.968735,	0.00193804,	-0.246538,	2.49243e-95,	2.06087e-95,	1.51067e-95,	-2.79435e-96,	3.43236e-96,	-7.23915e-98
13.206,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365497,	-0.00327287,	1.24938,	0.256754,	0.000494766,	-0.940805,	-39.8284,	-5.34419,	-641.344,	8.08401,	-19.6943,	-0.657524
13.206,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.048559,	0.0328045,	1.2224,	0.00200671,	-0.999998,	-5.14143e-06,	5.05831,	-59.2585,	-9.26844,	5.56634,	0.384787,	0.613823
13.206,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345818,	0.0101887,	1.24813,	0.911142,	0.00183052,	-0.412089,	86.3674,	-0.641799,	32.5342,	0.142697,	11.4398,	-0.153141
13.206,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434456,	0.0169111,	1.24974,	0.000229048,	5.60107e-06,	-1,	-125.986,	-6.27281,	-501.296,	-6.3159,	-23.7781,	1.88058
13.208,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365581,	-0.00327311,	1.24934,	0.255342,	0.000499606,	-0.940925,	-42.9879,	1.26055,	-667.621,	7.56564,	-20.6832,	-0.851696
13.208,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344521,	-0.0089779,	1.24769,	0.968461,	0.00194109,	-0.247613,	2.53611e-94,	2.01713e-94,	1.30564e-94,	-2.63818e-95,	3.44084e-95,	-1.92238e-96
13.209,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0485517,	0.0327959,	1.22242,	0.00202348,	-0.999998,	-3.04866e-05,	3.10469,	-64.2581,	-7.96084,	6.08601,	0.208325,	0.727762
13.209,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0346224,	0.010181,	1.24823,	0.90269,	0.0018397,	-0.430288,	75.6186,	-1.67953,	26.7663,	0.259498,	9.97648,	-0.107115
13.209,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434557,	0.0169034,	1.24979,	0.000156484,	3.08033e-05,	-1,	-123.344,	-9.88392,	-499.47,	-5.84139,	-23.4161,	1.90101
13.21,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0492629,	0.0328167,	1.22233,	0.00202753,	-0.999998,	5.87694e-06,	3.43433,	-67.9118,	-8.9656,	6.38592,	0.245493,	0.586624
13.21,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344555,	-0.00890476,	1.24771,	0.96833,	0.00196186,	-0.248125,	2.59594e-94,	2.06422e-94,	1.33486e-94,	-2.69383e-95,	3.52174e-95,	-2.08136e-96
13.21,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365713,	-0.00329143,	1.24939,	0.249994,	0.000501324,	-0.943783,	-45.8296,	10.8131,	-675.814,	6.43056,	-21.2303,	-1.10862
13.211,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0492564,	0.0328101,	1.22231,	0.00202204,	-0.999998,	-0.000105824,	2.61869,	-89.213,	-11.2642,	8.40012,	0.143219,	0.81855
13.211,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0346615,	0.0101996,	1.24826,	0.895146,	0.00185719,	-0.44577,	70.2642,	-2.51811,	23.3145,	0.35676,	9.23336,	-0.0779302
13.211,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434793,	0.0169222,	1.24976,	0.000153013,	0.000106133,	-1,	-121.256,	-13.4244,	-504.961,	-5.48942,	-23.2289,	1.92992
13.212,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.049254,	0.0328121,	1.2223,	0.00203031,	-0.999998,	-3.77787e-05,	9.4513,	-85.7535,	13.1649,	8.67302,	1.05012,	0.613791
13.212,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344711,	-0.00887343,	1.24772,	0.968084,	0.00197492,	-0.249085,	25.1531,	1.34851,	-47.6739,	0.430417,	1.90813,	0.285608
13.212,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365819,	-0.00330397,	1.24939,	0.247766,	0.000538726,	-0.944565,	-57.2449,	2.22072,	-612.603,	6.80059,	-21.1797,	-0.997017
13.213,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.049225,	0.0328036,	1.22222,	0.0020332,	-0.999998,	-7.12732e-05,	6.82561,	-95.7344,	-0.614692,	9.29543,	0.657724,	0.780999
13.213,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435108,	0.0169265,	1.24977,	0.000175658,	7.16305e-05,	-1,	-118.893,	-7.83372,	-510.395,	-6.27121,	-23.0092,	1.8106
13.213,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0346914,	0.0102036,	1.2483,	0.881568,	0.00182605,	-0.472054,	71.2591,	-1.01426,	19.3445,	0.163701,	9.26363,	-0.117315
13.214,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344611,	-0.00909059,	1.2477,	0.968456,	0.00197781,	-0.247636,	2.26089e-94,	-1.79881e-94,	1.16567e-94,	2.0627e-95,	3.06771e-95,	7.32394e-96
13.214,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.036575,	-0.003304,	1.24939,	0.250555,	0.000523747,	-0.943898,	-46.6207,	-3.5747,	-681.23,	8.29462,	-21.4543,	-0.798975
13.214,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0485056,	0.0327936,	1.22231,	0.00203387,	-0.999998,	6.08945e-06,	1.89939,	-57.1398,	-4.65673,	5.46631,	0.129711,	0.669739
13.215,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0346524,	0.0137246,	1.24832,	0.888219,	0.00180373,	-0.459396,	70.5002,	-0.465464,	19.5379,	0.340874,	9.17847,	-1.01134
13.215,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435385,	0.0169276,	1.24977,	0.000127278,	-5.8306e-06,	-1,	-121.116,	-5.66703,	-505.22,	-6.46449,	-23.1893,	1.80795
13.216,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.049217,	0.0328112,	1.22222,	0.00203645,	-0.999998,	-3.29098e-05,	2.80911,	-81.841,	-5.1362,	7.82844,	0.221978,	0.74452
13.216,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344756,	-0.00897585,	1.24771,	0.968163,	0.00197981,	-0.248777,	2.47171e-94,	-1.96497e-94,	1.26975e-94,	2.26063e-95,	3.3526e-95,	7.86777e-96
13.216,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.036586,	-0.00328817,	1.24939,	0.248474,	0.000537091,	-0.94456,	-43.9458,	-5.9734,	-682.836,	8.58463,	-21.1573,	-0.720407
13.217,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0346584,	0.0137104,	1.24834,	0.885748,	0.00181591,	-0.464141,	102.462,	1.83959,	-131.938,	-2.12169,	9.3875,	-1.52539
13.217,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435651,	0.0169134,	1.24978,	0.000114249,	2.21297e-05,	-1,	-152.406,	-1.19177,	-381.197,	-5.25385,	-25.1124,	2.17411
13.218,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0492124,	0.0328107,	1.22221,	0.00203866,	-0.999998,	-2.18967e-05,	11.1117,	-81.2769,	11.6498,	8.19178,	1.19616,	0.531852
13.218,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344787,	-0.0088658,	1.24768,	0.968055,	0.00198251,	-0.249199,	4.11729e-94,	3.30716e-94,	2.21262e-94,	-4.36029e-95,	5.60632e-95,	-2.75802e-96
13.218,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365944,	-0.00327297,	1.24938,	0.242931,	0.000514635,	-0.947392,	-40.6283,	-1.43428,	-692.19,	8.06042,	-20.9706,	-0.802268
13.219,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345697,	0.0101831,	1.24803,	0.929175,	0.00190149,	-0.369465,	111.093,	-0.791062,	46.8447,	0.189711,	14.8265,	-0.199584
13.219,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435309,	0.0169085,	1.24975,	0.000130428,	2.47366e-06,	-1,	-133.065,	-5.98666,	-492.743,	-6.23601,	-24.4889,	1.976
13.22,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0484485,	0.0327845,	1.22222,	0.00204802,	-0.999998,	8.38366e-06,	6.04106,	-57.4612,	-9.91756,	5.3648,	0.470169,	0.574507
13.22,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344625,	-0.00884007,	1.24767,	0.968004,	0.00198041,	-0.249395,	0.494171,	0.0620931,	0.301071,	-0.0130237,	0.0680853,	0.00733491
13.22,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365956,	-0.00327355,	1.24937,	0.242922,	0.000489566,	-0.947522,	-42.5755,	-3.8113,	-696.69,	8.4026,	-21.3186,	-0.77193
13.22,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345948,	0.0101824,	1.24811,	0.919356,	0.00189447,	-0.393422,	105.208,	-0.93065,	42.1143,	0.197761,	13.991,	-0.184862
13.22,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435603,	0.0163001,	1.24975,	0.000210933,	2.34626e-05,	-1,	-140.848,	-7.23488,	-491.002,	-5.7401,	-25.4099,	1.85065
13.222,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0484457,	0.0327844,	1.22227,	0.002053,	-0.999998,	-1.19179e-05,	3.25673,	-61.2175,	-15.2881,	5.59989,	0.132792,	0.692003
13.222,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344622,	-0.00880893,	1.24767,	0.968121,	0.00199052,	-0.248944,	0.133664,	0.052548,	0.0815009,	-0.00790964,	0.0184182,	0.00109687
13.222,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365968,	-0.00327415,	1.24939,	0.244351,	0.000512941,	-0.947128,	-46.5188,	-6.67667,	-699.503,	8.79779,	-21.8748,	-0.74698
13.223,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491761,	0.0328082,	1.22222,	0.00205404,	-0.999998,	4.46025e-06,	4.94167,	-75.5649,	-15.6169,	6.95665,	0.324192,	0.632646
13.223,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	8,	0.0346086,	0.0102329,	1.24813,	0.916579,	0.00188091,	-0.399849,	108.828,	0.628581,	39.262,	-0.000137245,	14.3674,	-0.229641
13.223,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435257,	0.0169011,	1.24973,	0.000115604,	-4.22281e-06,	-1,	-133.355,	-2.7419,	-502.26,	-6.778,	-24.6798,	1.93139
13.224,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366092,	-0.00326552,	1.2494,	0.245315,	0.000535194,	-0.946,	-42.1549,	-9.4682,	-687.652,	9.02528,	-21.0483,	-0.629688
13.224,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.03449,	-0.00881097,	1.24772,	0.967923,	0.00199027,	-0.249712,	4.40317e-94,	-3.52445e-94,	2.33126e-94,	4.03392e-95,	5.98809e-95,	1.42471e-95
13.225,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.048467,	0.0327795,	1.22226,	0.00205403,	-0.999998,	-1.88254e-05,	-1.01614,	-58.5049,	7.32159,	5.89675,	-0.0158698,	0.763804
13.225,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0346579,	0.0101683,	1.24826,	0.897599,	0.001852,	-0.44081,	95.9899,	-1.33903,	-105.601,	-0.0421659,	9.23744,	-0.15546
13.225,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435568,	0.0162859,	1.24978,	0.000185977,	1.92074e-05,	-1,	-160.542,	-3.23275,	-395.848,	-4.94749,	-26.3608,	2.07539
13.226,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491641,	0.0327997,	1.22213,	0.0020585,	-0.999998,	-2.02881e-05,	3.7682,	-81.6495,	-9.46717,	7.69721,	0.271259,	0.724234
13.226,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344663,	-0.00875242,	1.24768,	0.968272,	0.00199823,	-0.248361,	4.02578e-94,	3.20121e-94,	2.0697e-94,	-4.16417e-95,	5.46202e-95,	-3.49963e-96
13.226,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366002,	-0.00325951,	1.24941,	0.243936,	0.000521367,	-0.947525,	-48.0353,	-7.95136,	-699.286,	8.93423,	-22.0609,	-0.732941
13.227,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491752,	0.032792,	1.22215,	0.00207084,	-0.999998,	-1.07193e-06,	3.82775,	-79.6066,	8.46987,	7.94611,	0.456705,	0.701422
13.227,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.034558,	0.0101425,	1.24801,	0.934337,	0.00193524,	-0.355294,	126.666,	4.01721,	-39.8949,	-0.57232,	14.606,	-0.346831
13.227,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434986,	0.0168717,	1.24975,	0.000129813,	1.34076e-06,	-1,	-170.23,	0.903226,	-433.263,	-6.24978,	-28.1982,	2.39479
13.228,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.049155,	0.0327878,	1.22208,	0.00207523,	-0.999998,	4.05721e-06,	6.1236,	-88.7782,	-6.24751,	8.46595,	0.532056,	0.737423
13.228,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344769,	-0.008749,	1.24768,	0.968113,	0.00200805,	-0.248981,	3.79026e-94,	3.01174e-94,	1.94244e-94,	-3.91572e-95,	5.14075e-95,	-3.31044e-96
13.228,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366029,	-0.0032524,	1.24938,	0.244422,	0.000503393,	-0.946815,	-47.3702,	-3.87681,	-693.227,	8.3653,	-21.8311,	-0.812781
13.229,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345047,	0.0101364,	1.24789,	0.945906,	0.00196689,	-0.316487,	178.76,	0.271553,	95.0606,	0.153442,	24.3136,	-0.358018
13.229,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0435114,	0.016273,	1.24974,	0.000143525,	1.97967e-05,	-1,	-155.701,	-4.21424,	-508.675,	-6.34776,	-27.5735,	1.98791
13.229,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0365992,	-0.00325154,	1.24938,	0.246029,	0.000518236,	-0.946253,	-48.1813,	-9.21223,	-696.678,	9.07691,	-22.0154,	-0.70125
13.23,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0484193,	0.0327631,	1.22213,	0.00207523,	-0.999998,	-8.10423e-06,	4.0552,	-59.8281,	-13.8974,	5.49182,	0.226932,	0.655924
13.23,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345064,	0.0101428,	1.248,	0.938251,	0.00194613,	-0.343713,	146.457,	1.07115,	65.9731,	-0.00237947,	19.6498,	-0.313601
13.23,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344652,	-0.00874178,	1.24766,	0.968154,	0.00201116,	-0.248823,	4.05839e-94,	3.22542e-94,	2.08157e-94,	-4.19309e-95,	5.50534e-95,	-3.56672e-96
13.23,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.043489,	0.0162707,	1.24977,	0.00011884,	-5.14714e-06,	-1,	-152.857,	-2.5311,	-510.064,	-6.58089,	-27.2587,	1.92637
13.232,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.048431,	0.0327658,	1.22214,	0.00207781,	-0.999998,	-1.74742e-05,	2.631,	-62.7915,	-10.8587,	5.85375,	0.124546,	0.729582
13.232,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344838,	-0.00875842,	1.24772,	0.968113,	0.00201591,	-0.248982,	3.42904e-94,	-2.72499e-94,	1.75831e-94,	3.15425e-95,	4.65123e-95,	1.05595e-95
13.232,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366075,	-0.0032441,	1.24941,	0.249126,	0.00053414,	-0.944374,	-48.7533,	-10.7633,	-687.401,	9.19647,	-21.8616,	-0.659665
13.233,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434707,	0.0162649,	1.24977,	0.000109305,	1.14424e-05,	-1,	-166.233,	0.65077,	-419.12,	-5.74875,	-27.4808,	2.08344
13.233,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345451,	0.010145,	1.24807,	0.929473,	0.00193707,	-0.368744,	121.478,	3.39639,	-55.0194,	-0.525791,	13.5943,	-0.321803
13.234,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491465,	0.0327864,	1.22204,	0.0020796,	-0.999998,	-1.12151e-05,	10.8547,	-74.8291,	3.84795,	7.35764,	1.09203,	0.480916
13.234,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344812,	-0.00871114,	1.24769,	0.968172,	0.00201866,	-0.248754,	4.50899e-94,	3.60341e-94,	2.37025e-94,	-4.71132e-95,	6.12904e-95,	-3.62988e-96
13.234,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366074,	-0.00323264,	1.2494,	0.246178,	0.000520155,	-0.946031,	-43.5482,	-5.40344,	-692.571,	8.54145,	-21.3452,	-0.737148
13.235,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.034519,	0.0101325,	1.24793,	0.943049,	0.00196427,	-0.327445,	134.242,	0.389969,	68.7139,	0.0866208,	18.1975,	-0.272509
13.235,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.043453,	0.0162652,	1.24974,	0.000131617,	-6.67517e-06,	-1,	-138.914,	-3.73924,	-481.966,	-6.04137,	-25.0837,	1.76902
13.235,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.048386,	0.0327601,	1.22205,	0.00208768,	-0.999998,	1.73868e-05,	6.82877,	-57.7027,	-13.642,	5.28619,	0.499501,	0.562714
13.235,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344754,	-0.00871846,	1.24767,	0.968104,	0.00201677,	-0.249021,	3.55786e-94,	-2.70205e-94,	1.82379e-94,	3.12239e-95,	4.8261e-95,	1.05856e-95
13.235,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366033,	-0.00323578,	1.24938,	0.248228,	0.000501791,	-0.944976,	-43.4573,	-6.51843,	-693.398,	8.70613,	-21.3534,	-0.709871
13.237,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434559,	0.0162642,	1.24976,	0.000212545,	2.1684e-05,	-1,	-135.358,	-5.35477,	-472.473,	-5.71746,	-24.4913,	1.75207
13.237,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345376,	0.0101402,	1.24802,	0.934561,	0.00196235,	-0.354806,	101.155,	-0.628541,	44.3971,	0.164594,	13.5442,	-0.183333
13.238,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0483881,	0.0327599,	1.2221,	0.00209362,	-0.999998,	-1.01732e-05,	3.50701,	-61.3858,	-17.8575,	5.54239,	0.123778,	0.692596
13.238,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	5,	0.0344706,	-0.00842864,	1.24768,	0.967454,	0.00202804,	-0.251331,	3.06548e-94,	-2.43662e-94,	1.57347e-94,	2.82368e-95,	4.15889e-95,	9.38155e-96
13.238,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366067,	-0.00324191,	1.24939,	0.248374,	0.000529616,	-0.945057,	-48.5137,	-8.44158,	-696.413,	8.98434,	-22.0503,	-0.718121
13.239,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0345739,	0.0101429,	1.24805,	0.929821,	0.00194605,	-0.3677,	91.9438,	1.80763,	38.7514,	-0.146362,	12.2723,	-0.22503
13.239,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434356,	0.016264,	1.24968,	0.000122513,	-4.61057e-06,	-1,	-120.784,	-1.43263,	-486.445,	-6.39844,	-22.895,	1.50491
13.239,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491199,	0.0327833,	1.22205,	0.00209485,	-0.999998,	4.8672e-06,	5.08629,	-74.3921,	-18.4888,	6.75827,	0.307217,	0.62308
13.24,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0345008,	-0.00874866,	1.24772,	0.967887,	0.00202988,	-0.249865,	4.23855e-94,	-3.37496e-94,	2.19275e-94,	3.89463e-95,	5.75326e-95,	1.32269e-95
13.24,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366216,	-0.00323592,	1.24939,	0.248628,	0.000551268,	-0.944018,	-43.4437,	-10.7664,	-685.032,	9.15955,	-21.1438,	-0.604836
13.241,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	10,	0.0484127,	0.032756,	1.22211,	0.00209535,	-0.999998,	-1.77661e-05,	-1.52868,	-58.5518,	5.51017,	5.84763,	-0.0868222,	0.781476
13.241,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	9,	0.0346315,	0.0101395,	1.24818,	0.911859,	0.00191796,	-0.410499,	83.5389,	-0.670046,	-83.1899,	-0.0804621,	8.24236,	-0.147187
13.241,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0434859,	0.0162564,	1.24976,	0.000195614,	1.8176e-05,	-1,	-146.027,	-2.53878,	-405.112,	-5.15877,	-24.7304,	1.87022
13.242,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491104,	0.0327753,	1.22198,	0.00209959,	-0.999998,	-1.81703e-05,	3.24229,	-79.5896,	-11.3919,	7.43681,	0.199532,	0.722586
13.242,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0344901,	-0.00869903,	1.24768,	0.968097,	0.00203713,	-0.249054,	3.48487e-94,	-2.7692e-94,	1.78652e-94,	3.21022e-95,	4.72696e-95,	1.06403e-95
13.242,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0366217,	-0.00323377,	1.2494,	0.244406,	0.000530356,	-0.946713,	-50.6899,	-9.11704,	-699.336,	9.06982,	-22.3843,	-0.728935
13.243,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0491228,	0.0327672,	1.22201,	0.00211218,	-0.999998,	-1.18205e-06,	3.07071,	-76.5242,	6.42658,	7.58444,	0.36271,	0.694992
