trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones
3,262,6.99433,2.0602,0.00185777,6.98896,0.00323706,1,967,262,81
3,265,7.17945,2.0602,0.00187432,7.17399,0.00331097,1,987,265,82
3,278,7.35077,2.0602,0.00196325,7.34513,0.00338642,1,1007,278,83
3,281,7.49128,2.0602,0.0019875,7.48554,0.00346148,1,1027,281,84
3,287,7.6458,2.0602,0.00202946,7.63994,0.00353578,1,1047,287,85
3,293,7.81941,2.0602,0.00207912,7.81342,0.00361469,1,1067,293,86
3,299,7.97921,2.0602,0.00212108,7.97308,0.003704,1,1087,299,87
3,301,8.12249,2.0602,0.00214379,8.11625,0.00379023,1,1107,301,88
3,304,8.2482,2.0602,0.00216611,8.24184,0.00387531,1,1127,304,89
3,312,8.51579,2.0602,0.00223425,8.50919,0.00404545,1,1167,312,91
3,313,8.68716,2.0602,0.00224387,8.68046,0.00413553,1,1187,313,92
3,314,8.68717,2.0602,0.00225234,8.68046,0.00413553,1,1187,314,92
3,317,8.79086,2.0602,0.00227929,8.78402,0.004231,1,1207,317,93
3,324,8.92027,2.0602,0.00233434,8.91328,0.004323,1,1227,324,94
3,328,9.01716,2.0602,0.00236783,9.01006,0.00439422,1,1246,328,95
4,1,0.0128674,2.0602,3.2721e-05,0.0128135,1.8477e-05,1,1,1,3
4,11,0.106989,2.0602,9.4697e-05,0.106823,6.0821e-05,1,13,11,9
4,19,0.20181,2.0602,0.00014012,0.201533,0.000120103,1,38,19,13
4,24,0.378334,2.0602,0.000173995,0.377959,0.00017823,1,62,24,16
4,40,0.55249,2.0602,0.000274084,0.551889,0.000291407,1,105,40,21
4,47,0.743384,2.0602,0.000318352,0.742644,0.000382256,1,144,47,24
4,53,0.897415,2.0602,0.000358001,0.896571,0.000441154,1,171,53,26
4,62,1.02099,2.0602,0.000413817,1.02002,0.000496973,1,193,62,28
4,71,1.27148,2.0602,0.00047079,1.27033,0.000613613,1,233,71,32
4,78,1.30298,2.0602,0.000518908,1.30173,0.000668662,1,245,78,34
4,82,1.42591,2.0602,0.000543161,1.42459,0.000709467,1,260,82,35
4,84,1.54049,2.0602,0.000557404,1.53912,0.000751042,1,276,84,36
4,88,1.80451,2.0602,0.000586275,1.80298,0.000871916,1,317,88,39
4,90,1.88965,2.0602,0.000602828,1.88807,0.000906947,1,328,90,40
4,94,2.07742,2.0602,0.0006317,2.07572,0.000990097,1,354,94,42
4,100,2.34774,2.0602,0.000673275,2.34587,0.00110789,1,391,100,45
4,101,2.34774,2.0602,0.000680589,2.34587,0.00110789,1,391,101,45
4,111,2.61337,2.0602,0.000744104,2.61128,0.00125725,1,428,111,49
4,112,2.72223,2.0602,0.000754882,2.72006,0.00131576,1,445,112,50
4,113,2.72224,2.0602,0.000763736,2.72006,0.00131576,1,445,113,50
4,115,2.95609,2.0602,0.000781829,2.95378,0.00142547,1,479,115,52
4,116,2.9561,2.0602,0.000790298,2.95378,0.00142547,1,479,116,52
4,121,3.12815,2.0602,0.000824944,3.12569,0.0015271,1,507,121,54
4,128,3.23382,2.0602,0.000871138,3.23126,0.00157753,1,524,128,55
4,130,3.34034,2.0602,0.000887691,3.3377,0.00163566,1,541,130,56
4,134,3.46897,2.0602,0.000918486,3.46625,0.00169071,1,558,134,57
4,137,3.59577,2.0602,0.000941583,3.59296,0.00174999,1,575,137,58
4,141,3.71195,2.0602,0.000971609,3.70905,0.00181274,1,592,141,59
4,143,3.89185,2.0602,0.000988931,3.88883,0.00190936,1,615,143,61
4,146,4.00512,2.0602,0.0010128,4.00201,0.00197288,1,633,146,62
4,150,4.10691,2.0602,0.00104321,4.10367,0.00207219,1,654,150,64
4,152,4.33168,2.0602,0.00106092,4.32826,0.00223541,1,690,152,66
4,153,4.33169,2.0602,0.00106862,4.32826,0.00223541,1,690,153,66
4,156,4.43323,2.0602,0.00109441,4.42971,0.00229662,1,708,156,67
4,164,4.55925,2.0602,0.00114869,4.55562,0.0023482,1,723,164,68
4,167,4.82517,2.0602,0.00117371,4.82139,0.00246946,1,759,167,70
4,168,4.82518,2.0602,0.00118333,4.82139,0.00246946,1,759,168,70
4,186,4.97483,2.0602,0.00131422,4.97078,0.00257686,1,786,186,72
4,191,5.09733,2.0602,0.00135194,5.09313,0.00268388,1,806,191,74
4,194,5.39555,2.0602,0.00137542,5.39117,0.00283401,1,844,194,76
4,195,5.49668,2.0602,0.00138543,5.49221,0.00292024,1,863,195,77
4,196,5.61937,2.0602,0.00139467,5.61482,0.00298299,1,882,196,78
4,197,5.61938,2.0602,0.00140352,5.61482,0.00298299,1,882,197,78
4,199,5.83702,2.0602,0.00141969,5.83232,0.0031054,1,910,199,80
4,201,5.99106,2.0602,0.00143701,5.98623,0.00322012,1,931,201,82
4,203,6.17364,2.0602,0.00145318,6.16871,0.00329364,1,950,203,83
4,207,6.36217,2.0602,0.00148513,6.35707,0.00343453,1,981,207,85
4,210,6.60005,2.0602,0.00151285,6.59477,0.00358236,1,1019,210,87
4,211,6.60006,2.0602,0.00152016,6.59477,0.00358236,1,1019,211,87
4,213,6.73078,2.0602,0.00153864,6.72539,0.00365935,1,1038,213,88
4,220,6.92854,2.0602,0.00159215,6.92292,0.00383065,1,1076,220,90
4,223,7.06778,2.0602,0.0016164,7.06197,0.00399964,1,1114,223,92
4,224,7.13725,2.0602,0.00162641,7.13133,0.00408895,1,1133,224,93
4,229,7.26523,2.0602,0.00166606,7.25918,0.00417133,1,1152,229,94
4,233,7.55481,2.0602,0.0017007,7.54848,0.00442386,1,1209,233,97
4,236,7.55715,2.0602,0.00172534,7.55073,0.00448121,1,1211,236,98
4,238,7.65861,2.0602,0.00174112,7.65209,0.00455974,1,1230,238,99
4,240,7.77013,2.0602,0.00175729,7.7635,0.00464674,1,1249,240,100
4,243,7.93869,2.0602,0.00178347,7.93193,0.00474645,1,1268,243,101
4,245,8.16339,2.0602,0.00180118,8.15643,0.00493199,1,1306,245,103
4,246,8.1634,2.0602,0.00180888,8.15643,0.00493199,1,1306,246,103
4,254,8.28972,2.0602,0.0018697,8.28253,0.0050852,1,1336,254,105
4,258,8.42396,2.0602,0.00190049,8.41664,0.00517874,1,1356,258,106
4,264,8.70051,2.0602,0.00194669,8.69293,0.00538046,1,1396,264,108
4,265,8.70052,2.0602,0.00195708,8.69293,0.00538046,1,1396,265,108
4,271,8.9907,2.0602,0.00200443,8.98277,0.00567572,1,1456,271,111
4,272,9.12809,2.0602,0.00201405,9.12005,0.00576811,1,1476,272,112
4,273,9.17433,2.0602,0.00202368,9.1662,0.00584202,1,1486,273,113
4,275,9.37405,2.0602,0.00204177,9.36572,0.00602525,1,1526,275,115
4,277,9.37407,2.0602,0.00205909,9.36572,0.00602525,1,1526,277,115
4,281,9.6041,2.0602,0.00209181,9.59551,0.00622543,1,1566,281,117
4,287,9.81698,2.0602,0.00213993,9.80814,0.00642637,1,1606,287,119
4,288,9.92299,2.0602,0.00215033,9.91405,0.0065203,1,1626,288,120
5,1,2.9256e-05,2.0602,2.7716e-05,0,0,1,0,1,2
5,19,0.112067,2.0602,0.000135889,0.111859,5.8126e-05,1,18,19,9
5,33,0.234434,2.0602,0.000215958,0.234088,0.00010586,1,33,33,13
5,41,0.351354,2.0602,0.000265616,0.350889,0.000168993,1,56,41,17
5,46,0.518796,2.0602,0.000294488,0.518251,0.000215957,1,77,46,19
