trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones
1,1416,3.59372,1.40986,0.0063794,3.11884,0.0339323,0.432898,1,561,439,1416,304
1,1634,3.61661,1.40986,0.00711619,3.13276,0.0418615,0.432898,1,562,440,1634,341
1,1797,3.65914,1.40986,0.00763241,3.15398,0.0465375,0.448786,1,565,442,1797,361
1,1921,3.71577,1.40986,0.00799657,3.17141,0.0506996,0.483289,1,577,449,1921,378
1,2100,3.75112,1.40139,0.00851394,3.18611,0.0577122,0.496134,1,582,451,2100,406
1,2221,3.76472,1.40139,0.00894701,3.19355,0.0632678,0.496134,1,582,451,2221,426
1,2337,3.78201,1.40139,0.00932156,3.20393,0.069623,0.496134,1,583,452,2337,448
1,2454,3.795,1.40139,0.00969804,3.21087,0.0751089,0.496134,1,583,452,2454,466
1,2572,3.81007,1.40139,0.0101065,3.21877,0.0817004,0.496134,1,583,452,2572,487
1,2692,3.82423,1.40139,0.0105118,3.22607,0.087969,0.496134,1,583,452,2692,506
1,2796,3.84574,1.40139,0.010928,3.24122,0.0937656,0.496134,1,583,452,2796,523
1,2913,3.86159,1.40139,0.0113537,3.25147,0.0987749,0.496134,1,584,453,2913,538
1,3032,3.87382,1.40139,0.0118018,3.25752,0.104337,0.496134,1,585,454,3032,554
1,3154,3.8828,1.40139,0.0121825,3.26193,0.108337,0.496134,1,585,454,3154,565
1,3276,3.89456,1.40139,0.0126164,3.26775,0.113666,0.496134,1,585,454,3276,580
1,3397,3.90819,1.40139,0.0130236,3.27456,0.119904,0.496134,1,585,454,3397,597
1,3517,3.92082,1.40139,0.0134197,3.28063,0.125867,0.496134,1,585,454,3517,613
1,3637,3.93157,1.40139,0.0137104,3.2858,0.13096,0.496134,1,585,454,3637,626
1,3750,3.94851,1.40139,0.0141465,3.29376,0.139346,0.496134,1,585,454,3750,647
1,3867,3.96086,1.40139,0.0144618,3.30003,0.144908,0.496134,1,586,455,3867,660
1,3978,3.97993,1.40139,0.0148568,3.3108,0.152658,0.496134,1,586,455,3978,678
1,4097,3.99342,1.40139,0.0152225,3.3173,0.159099,0.496134,1,586,455,4097,693
1,4209,4.00919,1.40139,0.0155847,3.32462,0.167013,0.496134,1,586,455,4209,710
1,4332,4.02048,1.40139,0.0159419,3.32961,0.172766,0.496134,1,586,455,4332,723
1,4454,4.03296,1.40139,0.0163692,3.33525,0.179006,0.496134,1,586,455,4454,737
1,4545,4.06552,1.40139,0.0166672,3.35198,0.182993,0.507548,1,590,457,4545,745
1,4667,4.07857,1.40139,0.0170849,3.35813,0.189288,0.507548,1,590,457,4667,759
1,4738,4.13748,1.37938,0.0173447,3.37759,0.195333,0.54057,1,596,459,4738,771
1,4839,4.14621,1.37938,0.01765,3.38163,0.199565,0.54057,1,596,459,4839,780
1,4919,4.17179,1.37748,0.0179918,3.39887,0.204953,0.543051,1,598,460,4919,791
1,5007,4.18415,1.37748,0.0182586,3.40445,0.211334,0.543051,1,598,460,5007,804
1,5069,4.22935,1.36709,0.018436,3.42634,0.216369,0.56104,1,603,462,5069,814
1,5100,4.33772,1.33642,0.0185431,3.49621,0.217896,0.597858,1,612,468,5100,817
1,5188,4.34679,1.33642,0.0188252,3.5003,0.222455,0.597858,1,612,468,5188,826
1,5272,4.35907,1.33642,0.0190651,3.50589,0.228776,0.597858,1,612,468,5272,838
1,5360,4.36645,1.33642,0.0193014,3.50912,0.232542,0.597858,1,612,468,5360,845
1,5444,4.37771,1.33642,0.0196841,3.51413,0.238278,0.597858,1,612,468,5444,856
1,5508,4.50279,1.33642,0.0198438,3.54421,0.242708,0.688156,1,617,470,5508,864
1,5593,4.51274,1.33642,0.0201348,3.54888,0.247563,0.688156,1,617,470,5593,873
1,5677,4.52136,1.33642,0.0204105,3.55268,0.251976,0.688156,1,617,470,5677,881
1,5760,4.53622,1.33642,0.0206938,3.55955,0.259565,0.688156,1,617,470,5760,895
